station_key,reach_id,terminal_tree_id,rows,nse,nse_status,time_r,log_rmse,rmse_mg_l,bias_mg_l,dynamic_eligible,sd_ratio,abs_log_sd_ratio,alpha,delta,nse_identity
三溪桥,95,56,12,-0.35994911435720556,defined,-0.11031147176048987,0.18661064888659407,0.5474958200630137,0.14362066667558748,True,0.41745284642215696,0.8735836837711545,0.41745284642215696,0.3059126666425839,-0.35994911435720534
上中,115,20,12,-0.09965160709445708,defined,0.1621656564780276,0.23630942360577134,0.7487195784685825,-0.25334294272760854,True,0.15532410867904037,1.8622413214744657,0.15532410867904037,-0.3548274234879837,-0.09965160709445708
上洞,109,20,4,,fewer_than_8,,0.5147387419993149,2.3697720487115346,-1.30499568553404,False,0.014130273229229539,inf,0.014130273229229539,,
上金,108,20,12,-1.1518895186997131,defined,-0.36555130603609487,0.25687606529860385,0.6022304804611432,-0.40710779432662364,True,0.1841353882759174,1.6920839860981791,0.1841353882759174,-0.991646012516936,-1.151889518699712
东江江口,21,22,12,-1.295538366217087,defined,-0.04523306498502589,0.24476089279800808,0.6652187851015913,-0.49409612970236855,True,0.1312956440070124,2.0303036741032887,0.1312956440070124,-1.1253541714885273,-1.2955383662170858
乌都河,226,20,4,,fewer_than_8,,0.2301529892777845,0.8158610154270176,-0.5222586458839115,False,0.10470168756324347,inf,0.10470168756324347,,
九甸大桥,158,20,12,-0.3655457143341665,defined,0.7827317035512837,0.27393168442426297,1.9161883882979103,-1.5431519043058863,True,0.47843729522597866,0.7372301211360183,0.47843729522597866,-0.9410736140921243,-0.3655457143341653
五马岗,26,26,4,,fewer_than_8,,0.32110632166546826,1.0112169873398476,0.9462942369282733,False,0.4731696184504206,inf,0.4731696184504206,,
交州,103,20,12,0.211273456084771,defined,0.6917364353165913,0.1435157685814094,0.26673902410849626,0.0763296200378394,True,0.24158127509503224,1.420549319670775,0.24158127509503224,0.25413809550249644,0.21127345608477116
京南,85,20,12,0.16609112228543055,defined,0.48879050004678115,0.18113106762791578,0.5232037568457947,0.05393684504158763,True,0.23588201935305786,1.4444235169527075,0.23588201935305786,0.09413995455567367,0.16609112228543063
从江大桥,172,20,12,-0.6532688234541881,defined,0.7645298136345213,0.16547352339543941,0.30338284284450473,0.23751172731923967,True,0.29072628202240763,1.2353730660701865,0.29072628202240763,1.0066205207634664,-0.6532688234541878
八角电站,122,20,4,,fewer_than_8,,0.4099192839661175,1.012689519648036,1.0116428320575641,False,0.8377616731993939,inf,0.8377616731993939,,
公庄河口(泰美),23,23,12,-0.759918057789865,defined,0.026717438735458298,0.2102888983007639,0.6395683954171684,-0.35833330917094997,True,0.48298718587310824,0.7277651559649183,0.48298718587310824,-0.7432696665204309,-0.7599180577898647
公篓,138,20,12,-2.7643480574488226,defined,-0.08110885248564477,0.1859604146553738,0.34996375887719394,0.2801696349737077,True,0.5174931042368444,0.6587590790775879,0.5174931042368444,1.553255420337676,-2.7643480574488253
六景,144,20,12,-2.328960746581327,defined,0.35150930155978044,0.2716840170000514,0.8279911911612183,-0.708673623518305,True,0.2337475813690722,1.4535134579510551,0.2337475813690722,-1.5616182993683496,-2.3289607465813265
兴宁电站,92,22,12,-10.026357769343713,defined,-0.3070644191654136,0.5971953151879539,1.823776871951636,-1.7213804397733046,True,0.23854147191859748,1.4332120973190954,0.23854147191859748,-3.134160260496508,-10.026357769343724
凤山糖厂,176,20,4,,fewer_than_8,,0.1379332061172028,0.2857281982237379,0.1676106321060243,False,0.2973321698140637,inf,0.2973321698140637,,
刘三姐故居,169,20,4,,fewer_than_8,,0.160497264936042,0.4033232078706544,-0.3581982038361264,False,0.45631226660357865,inf,0.45631226660357865,,
北江石尾,59,56,12,-4.260277663503282,defined,-0.5740019333726055,0.27780756417111463,0.8006643888072366,-0.6757979901853823,True,0.343744036017534,1.0678579799190389,0.343744036017534,-1.9358456081740931,-4.260277663503282
十里亭,94,56,12,-2.8448960147514972,defined,-0.38559303622113217,0.3209881572445717,0.884095378752852,0.6889586434131659,True,0.4259822610376509,0.853357574336455,0.4259822610376509,1.528045660709471,-2.8448960147514946
南岸,10,20,12,-1.254418928319701,defined,-0.14668925629584992,0.2428471522161116,0.7664824267035176,-0.5285735528634812,True,0.304777681333214,1.188172681823047,0.304777681333214,-1.0354295101358497,-1.2544189283197011
南江口,14,20,4,,fewer_than_8,,0.18766722661318969,0.4758003827393787,0.27185476541984,False,0.5559938916848024,inf,0.5559938916848024,,
厂房大桥,210,20,12,-36.399979804299186,defined,-0.11783633263491695,0.6615474279017594,2.873857741425269,2.758679334475488,True,1.2791758441496275,0.246215998798982,1.2791758441496275,5.87045332010261,-36.3999798042992
双苏村,168,20,4,,fewer_than_8,,0.10278665204274504,0.30214981418092235,0.20712372254721784,False,0.12823877721844096,inf,0.12823877721844096,,
发耳,208,20,12,-1.0339922277498705,defined,-0.6060958220722705,0.3171870286926155,1.1558740176735238,0.49664254346583286,True,0.4067412955850625,0.8995779330257697,0.4067412955850625,0.6127849103714276,-1.0339922277498714
古封,19,20,12,-0.9675498318846214,defined,0.4990256584648365,0.08665692374236744,0.275076936384192,-0.21618140752867035,True,0.5358876326001981,0.6238307805602844,0.5358876326001981,-1.102369100870361,-0.967549831884621
古市,63,56,4,,fewer_than_8,,0.28248432540857965,0.6910963307138466,0.5475935419679963,False,0.7070767881972859,inf,0.7070767881972859,,
叮当,120,20,12,-0.3021809021656827,defined,0.2587558681057011,0.21743314849773743,0.7232593962374897,-0.38492728567842743,True,0.24162842052841174,1.4203541852024228,0.24162842052841174,-0.6073237620777774,-0.30218090216568255
坝草,204,20,12,-0.49933308432720525,defined,-0.6829193542840896,0.22099591127002133,0.793267432271564,-0.16003390031855,True,0.26823280608928235,1.3158999961172817,0.26823280608928235,-0.24702529546601276,-0.4993330843272057
坡脚,167,20,12,0.10302469602809516,defined,0.6565178338314765,0.10706287380838544,0.4128048771128992,-0.14691248851072708,True,0.19350256751835518,1.6424644977716218,0.19350256751835518,-0.3370576112056646,0.10302469602809457
垒亭,149,20,12,-8.952802449037716,defined,0.461475376951868,0.12656699618765133,0.3764805216873929,0.3611342814210128,True,0.5499172676361785,0.5979874345498917,0.5499172676361785,3.026208850119689,-8.952802449037677
天生桥,190,20,12,-0.677622632405336,defined,0.27577809641354245,0.2282767164307013,1.6852561021842007,-0.563534096832365,True,1.0281670514898025,0.027777655280267266,1.0281670514898025,-0.43311320823321325,-0.677622632405336
官渡,64,56,4,,fewer_than_8,,0.6466297040689936,1.9385280553681417,-1.807936374338324,False,0.11399795881804851,inf,0.11399795881804851,,
封开城上,18,20,12,-0.7471452446808051,defined,0.17019268489288114,0.09598546022295613,0.3107607441496154,-0.19488169655134868,True,0.4685424768146221,0.7581285158540414,0.4685424768146221,-0.8289138654480963,-0.7471452446808032
小云尚大桥,227,20,4,,fewer_than_8,,0.3246553355583598,1.4126574052513026,-1.3329373486727571,False,0.393256234242215,inf,0.393256234242215,,
山脚村,8,20,12,0.04827687307438777,defined,0.5714322769292319,0.1633520777715521,0.5637904418674008,0.30483260712754584,True,0.5770678829200315,0.5497953713523765,0.5770678829200315,0.5274715290774042,0.048276873074387994
岔河口,207,20,12,-1.0646877113753184,defined,-0.6321301493149214,0.23651429225312137,0.8373337447383566,0.32214271679344725,True,0.4442879416818104,0.8112824094450102,0.4442879416818104,0.5528112973006024,-1.0646877113753188
岜怀,202,20,4,,fewer_than_8,,0.2702178704045498,0.7785818493603678,0.17177954610464047,False,0.14679123757082127,inf,0.14679123757082127,,
布龙,105,20,4,,fewer_than_8,,0.27702464307429103,0.46876104593331314,0.4425774824998131,False,0.886094762082851,inf,0.886094762082851,,
平榔,9,20,11,0.17826216528856165,defined,0.563450618636294,0.1624138009665183,0.7589109707446491,-0.296989623072657,True,0.4478221013241345,0.8033592206889806,0.4478221013241345,-0.35474565583986056,0.17826216528856123
平而关,111,20,4,,fewer_than_8,,0.3248516883482359,0.6973796278396749,0.6820236696358712,False,0.9470910101111057,inf,0.9470910101111057,,
底先,133,20,4,,fewer_than_8,,0.3537458236224128,0.599314283684113,0.5555640313540201,False,0.4486201840579834,inf,0.4486201840579834,,
庙咀里,93,22,12,-17.855512906119955,defined,-0.407102019726558,0.4994696505640835,1.1045794313647135,-1.0643139606993248,True,0.3107867306579306,1.1686483555508682,0.3107867306579306,-4.184002952037294,-17.855512906119948
弄瓦,134,20,6,,fewer_than_8,,0.10420404657515897,0.20816070361991948,0.06466478465927032,False,0.4595980686871438,inf,0.4595980686871438,,
思留口,42,20,6,,fewer_than_8,,0.4513938162564905,1.0942600672570213,0.904453499390199,False,0.18734785622456482,inf,0.18734785622456482,,
扒齿,78,20,4,,fewer_than_8,,0.41662170088738093,1.1741488948359784,0.5820537324247537,False,0.17080235933347374,inf,0.17080235933347374,,
打邦,225,20,12,-0.2294168582637135,defined,-0.0931825154563792,0.25319732632424463,0.825521807595988,0.2182222803459625,True,0.29693352770657333,1.2142469776649583,0.29693352770657333,0.2931029039729448,-0.22941685826371364
新华,170,20,12,-2.8032803187661015,defined,0.479333775140392,0.20353890956263293,0.38749918699062597,0.34552513975205107,True,0.384038703305592,0.9570119416150542,0.384038703305592,1.738953718774723,-2.8032803187660984
新坪山桥,96,56,4,,fewer_than_8,,0.2010010418260987,0.49306070651128325,0.36766057979540795,False,0.3865273161652838,inf,0.3865273161652838,,
新荣甸,189,20,4,,fewer_than_8,,0.23414328491082906,0.4776842026302741,-0.44966987392539337,False,0.2800052291770732,inf,0.2800052291770732,,
昌林花园,39,20,12,-2.5144662140020944,defined,0.09033869641742014,0.3253157878672152,1.5065105191001826,-1.2627859016252136,True,0.32125799154381135,1.1355107666811508,0.32125799154381135,-1.571401786053085,-2.5144662140020957
木洞,175,20,12,-0.15603188667597934,defined,0.8275629141691919,0.1724240461220329,0.32254059186691714,0.22471082704558595,True,0.29861970841201607,1.2085843933357199,0.29861970841201607,0.749073660374937,-0.15603188667597911
杨民,186,20,12,-53.45553293500176,defined,-0.181448996395843,0.39758743693251086,1.0231850373590343,-1.0089204886476735,True,0.5538765246492636,0.5908134967706935,0.5538765246492636,-7.276520669344284,-53.455532935001784
松云,15,20,12,-0.36959920770793264,defined,0.498943130789492,0.21377529684739444,0.7606091731108151,-0.5054041998672031,True,0.38133287209432515,0.9640826052540886,0.38133287209432515,-0.7776318425319335,-0.36959920770793375
桂花,83,20,12,0.1917287780085597,defined,0.47404267623969865,0.14929251493610432,0.46003515984262056,-0.03841062878913374,True,0.30865558857621106,1.1755292237899988,0.30865558857621106,-0.07506525242831032,0.19172877800855967
棉江,113,20,12,-0.18601125795129025,defined,-0.16174355391659,0.16711143376100765,0.38644350716549325,-0.09137191644113508,True,0.22018294480632625,1.513296510888823,0.22018294480632625,-0.2574963781456223,-0.18601125795129023
榕江,171,20,12,-0.5617290554411047,defined,0.5182952562809474,0.1255533181539883,0.24347391549962594,0.17483874364506746,True,0.3601030068112523,1.0213651584281156,0.3601030068112523,0.8974041677706631,-0.5617290554411059
武林渡口,33,20,12,-4.044468058067696,defined,0.5644290949578672,0.11281644192571844,0.3509944727585195,-0.32567060554492594,True,0.7066511270641694,0.3472181902295061,0.7066511270641694,-2.0839436544413097,-4.0444680580676895
永昌桥,158,20,12,-1.5036927949859678,defined,0.24670843185700603,0.23601901559022243,1.489009862501414,-1.0288070549394872,True,0.8544267791651704,0.1573244686115132,0.8544267791651704,-1.0932686109462504,-1.5036927949859675
江边桥,193,20,12,-0.22541410896615943,defined,0.10317701760338344,0.24912329212173207,1.3884956572275968,-0.1335662564442285,True,0.5772237215715731,0.549525355263059,0.5772237215715731,-0.10648628261228837,-0.2254141089661597
