station_key,reach_id,terminal_tree_id,rows,nse,nse_status,time_r,log_rmse,rmse_mg_l,bias_mg_l,dynamic_eligible,sd_ratio,abs_log_sd_ratio,alpha,delta,nse_identity
三溪桥,95,56,12,-0.3827391940806315,defined,0.2253933147590713,0.19030732269976297,0.5299262658668726,0.22302747139098,True,0.6596976966913309,0.41597358420804886,0.6596976966913309,0.4948949830551443,-0.38273919408063184
上中,115,20,12,-1.5897067604958868,defined,-0.2954399066856345,0.2989828513757687,0.8878532303245873,-0.6001525928746717,True,0.40719824911549585,0.8984551135696659,0.40719824911549585,-1.0877918555361075,-1.5897067604958848
上洞,109,20,4,,fewer_than_8,,0.25570716280421835,0.7647389223834823,-0.5816188290095213,False,0.9117227714081517,inf,0.9117227714081517,,
上金,108,20,12,-2.3036441254856044,defined,-0.3513628229301452,0.4197546111871313,1.0096233926165654,-0.7976823237442515,True,0.25269251209678634,1.3755818966186775,0.25269251209678634,-1.4360421689659897,-2.303644125485602
东江江口,21,22,12,-1.445548464501008,defined,-0.5682369566942836,0.36433866010680216,0.9908844757330261,-0.7054739761472044,True,0.15895716805825252,1.83912049633353,0.15895716805825252,-1.1133869086618453,-1.4455484645010062
乌都河,226,20,4,,fewer_than_8,,0.24732539749524338,0.8377105947705957,-0.6462433815972519,False,0.2999195296147842,inf,0.2999195296147842,,
九甸大桥,158,20,12,-3.105114850672993,defined,0.297441387971893,0.3543261940670559,2.31985898342422,-2.0458133486217993,True,0.3300350004669302,1.108556568124789,0.3300350004669302,-1.7867635227909033,-3.1051148506729898
五马岗,26,26,4,,fewer_than_8,,0.30317493118567784,0.8121545461331507,0.6400094544074164,False,0.7956419047657488,inf,0.7956419047657488,,
交州,103,20,12,-0.32081910905728295,defined,0.10663155174341514,0.12962078296120055,0.2383386483134441,-0.034829368478138716,True,0.6579782038088153,0.4185834731160768,0.6579782038088153,-0.16794721236378476,-0.3208191090572831
京南,85,20,12,-1.0667582597033927,defined,-0.2755597642971196,0.19232956251944106,0.510219551317223,-0.047382447179878495,True,0.7850378155155558,0.24202338972871124,0.7850378155155558,-0.1335073672063547,-1.0667582597033929
从江大桥,172,20,12,-0.3047484750454077,defined,-0.11830117026801006,0.15780938934763677,0.31872344691113297,-0.041300632292421986,True,0.42652464202695545,0.8520851363995059,0.42652464202695545,-0.1480151214887157,-0.3047484750454076
八角电站,122,20,4,,fewer_than_8,,0.43313825916993887,1.084567673824273,1.0451943122264649,False,2.1443447917849654,inf,2.1443447917849654,,
公庄河口(泰美),23,23,12,-0.4861676097771057,defined,0.5826390211038833,0.2611450569661792,0.764853568917106,-0.5420253988049933,True,0.30108582538791345,1.2003599206971713,0.30108582538791345,-0.8639233974561176,-0.4861676097771047
公篓,138,20,12,-0.9970307103057712,defined,-0.44906649977509094,0.18099463653358255,0.3705551462727586,-0.16646925404057597,True,0.4429269950809867,0.8143503191743774,0.4429269950809867,-0.6348535552869361,-0.9970307103057705
六景,144,20,12,-9.780304951926569,defined,0.05845245264185568,0.3820082757045687,1.0865234595306992,-1.0188514223616323,True,0.6102307542777485,0.4939181076455498,0.6102307542777485,-3.0788410720578328,-9.780304951926567
兴宁电站,92,22,12,-10.242447578041403,defined,0.4638045462579536,0.5611800392043347,1.5352659680910274,-1.479228612586459,True,0.3194519802711767,1.1411483129510367,0.3194519802711767,-3.230591984739636,-10.2424475780414
凤山糖厂,176,20,4,,fewer_than_8,,0.1798712580540293,0.36110267659993733,0.13574485663334523,False,0.8392770225046925,inf,0.8392770225046925,,
刘三姐故居,169,20,6,,fewer_than_8,,0.33396846757652426,0.8214690216446248,-0.6805560913176079,False,0.6328111334792241,inf,0.6328111334792241,,
北江石尾,59,56,12,-7.079209487964784,defined,-0.5491787417288566,0.3451845828380326,0.9364698327602441,-0.7944762478380448,True,0.7021785678839574,0.3535675370978738,0.7021785678839574,-2.411412793780911,-7.079209487964789
十里亭,94,56,12,-3.737525885912401,defined,-0.23865826311918562,0.33040359830773625,0.8659720425100446,0.6585959914387961,True,0.788125639271082,0.23809776113423264,0.788125639271082,1.6553544847734805,-3.737525885912395
南岸,10,20,12,-6.542099977453858,defined,-0.12338462258774067,0.39690571884852704,1.2135290000084806,-1.094283175726605,True,0.5282503310870501,0.6381849957241227,0.5282503310870501,-2.4764279980839796,-6.542099977453854
南江口,14,20,10,-0.3767718248795626,defined,-0.012977329346999083,0.12676497751957552,0.36177539546015397,-0.08167491751727082,True,0.5408896625359485,0.6145399718866664,0.5408896625359485,-0.264899209623354,-0.37677182487956234
厂房大桥,210,20,12,-15.016840352572636,defined,-0.4463091534727857,0.61785599070064,2.646781919927076,2.4633677401631537,True,0.7121886994080638,0.33941237542516467,0.7121886994080638,3.7247704543926847,-15.016840352572633
双苏村,168,20,4,,fewer_than_8,,0.14310034893907134,0.46158454353223993,-0.12360925049875054,False,0.2997443546490833,inf,0.2997443546490833,,
发耳,208,20,12,-0.6747825538797891,defined,0.11994829808576309,0.2315839316925704,0.8401487373141016,0.4990166201390461,True,0.43351122821448784,0.83583758179481,0.43351122821448784,0.7686666617868557,-0.6747825538797889
古封,19,20,12,-3.8646129690199924,defined,-0.18402690416659656,0.20913093444371264,0.6324471702634286,-0.5162519323597713,True,0.6266206682168308,0.4674139163019474,0.6266206682168308,-1.8003692354253318,-3.864612969019996
古市,63,56,4,,fewer_than_8,,0.2657972433318548,0.5722450016052694,0.37416319339168314,False,0.7429980582408167,inf,0.7429980582408167,,
叮当,120,20,12,-3.9137122826323925,defined,-0.5527326593902905,0.4871011561288552,1.7642072596563219,-1.464162919227446,True,0.36092273343452136,1.0190913783653945,0.36092273343452136,-1.839690055023181,-3.9137122826323933
坝草,204,20,12,-1.3095151468797952,defined,0.08516101596457894,0.3195362387644875,1.3546186103564781,-1.015857758071674,True,0.21908955676171932,1.5182746977717394,0.21908955676171932,-1.1396625340335895,-1.3095151468797948
坡脚,167,20,12,-19.573168301393576,defined,-0.4327686159200592,0.3122369745917552,1.203237121901102,-1.148848082877677,True,0.5698081291387227,0.5624555903673719,0.5698081291387227,-4.330738602892845,-19.573168301393572
垒亭,149,20,12,-0.8004394140984046,defined,-0.2399028292432561,0.11938761476148307,0.3586853070505767,-0.057284881747811156,True,0.6612462495775304,0.41362896754211226,0.6612462495775304,-0.21429680193080616,-0.8004394140984044
天生桥,190,20,12,-0.8763909319721641,defined,0.06022068419278283,0.2876336484934103,2.141277514794013,-1.2941552549639288,True,0.5013645145976122,0.6904218684038252,0.5013645145976122,-0.8278946694311821,-0.8763909319721642
官渡,64,56,4,,fewer_than_8,,0.7635428393264134,2.1715813022512296,-2.128031888617649,False,0.2776718257871136,inf,0.2776718257871136,,
封开城上,18,20,12,-2.623666090501527,defined,-0.3824258750585793,0.296140866737148,0.969893628886723,-0.7552886516036432,True,0.3741657260524061,0.9830564619281167,0.3741657260524061,-1.4823915776690602,-2.62366609050153
小云尚大桥,227,20,10,-3.43046276426399,defined,-0.0682057726157049,0.2777171471439655,1.104756154293058,-0.8788102367862087,True,0.7265122894946497,0.31949988008645025,0.7265122894946497,-1.6743768970687751,-3.430462764263992
山脚村,8,20,12,-0.29542529984518184,defined,0.17405079864357528,0.1424228758911257,0.47602759434240616,0.15467340865024728,True,0.6087375544183445,0.4963680492816479,0.6087375544183445,0.3698194217556115,-0.29542529984518234
岔河口,207,20,12,-1.5540482092650976,defined,-0.4017932949669647,0.21231795459637975,0.714322241527598,0.4383013148573101,True,0.46648323607787445,0.7625331948648199,0.46648323607787445,0.9806028384530856,-1.5540482092650976
岜怀,202,20,10,-0.5656209266887082,defined,-0.07760981575998956,0.17319878161709265,0.5376653940960274,-0.18789079996333843,True,0.5391969235483888,0.6176744249856491,0.5391969235483888,-0.43725696853769286,-0.5656209266887072
布龙,105,20,4,,fewer_than_8,,0.1199506993692985,0.2018905137584242,0.1037957983187317,False,0.58497029155539,inf,0.58497029155539,,
平榔,9,20,12,-1.495797884944582,defined,0.2125898928342718,0.2377343731194547,1.0599253847683752,-0.8256483471029458,True,0.3755710589153234,0.9793075875578581,0.3755710589153234,-1.2306215856154696,-1.4957978849445848
平而关,111,20,4,,fewer_than_8,,0.3037803496401179,0.6718867137094569,0.6311566429525706,False,1.8066279170276875,inf,1.8066279170276875,,
底先,133,20,4,,fewer_than_8,,0.4384334042905185,0.9521086598403113,-0.07484749704999605,False,0.10002002699592198,inf,0.10002002699592198,,
庙咀里,93,22,12,-15.745692311321267,defined,-0.1439805770673236,0.5390888955626161,1.160745662874397,-1.1192013929358833,True,0.3009576252309649,1.2007858041072623,0.3009576252309649,-3.945687863228599,-15.745692311321262
弄瓦,134,20,12,-0.888835426581849,defined,-0.4350654629419519,0.2595105289826859,0.5691946034041887,-0.3118841154754202,True,0.27978984989822636,1.2737164936838585,0.27978984989822636,-0.75305993475348,-0.8888354265818497
思留口,42,20,12,-14.616125983985821,defined,-0.2682139648604859,0.4855634274437731,1.0968507319371101,1.0074245943227689,True,0.962435848005578,0.038287866464278626,0.962435848005578,3.629540708274909,-14.616125983985823
扒齿,78,20,4,,fewer_than_8,,0.22512180726279107,0.571700956410421,0.2067815616239424,False,0.5564382976342382,inf,0.5564382976342382,,
打邦,225,20,12,-0.8011211743804021,defined,-0.7630275789791728,0.23002323095750946,0.860764898594991,0.13148911559716744,True,0.3951187140848049,0.9285690172478633,0.3951187140848049,0.2050107912413079,-0.8011211743804028
新华,170,20,12,0.06253240851406983,defined,0.3857817470297915,0.13107024006320853,0.25978684211848985,0.07086937501321829,True,0.5143503897210181,0.6648505537092285,0.5143503897210181,0.2641311264198592,0.06253240851407012
新坪山桥,96,56,4,,fewer_than_8,,0.23632580124801814,0.5392355302321067,0.44857713256462517,False,0.8786787899858141,inf,0.8786787899858141,,
新荣甸,189,20,4,,fewer_than_8,,0.2695015205432774,0.5290049611251969,-0.5160692042927214,False,0.6626661114589875,inf,0.6626661114589875,,
昌林花园,39,20,12,-2.4320463252668416,defined,-0.797694915082262,0.42668201612128337,1.9017316230526675,-1.3784038750250536,True,0.32716684495918236,1.1172850089745854,0.32716684495918236,-1.342776795901464,-2.4320463252668407
木洞,175,20,12,-0.3494409582515927,defined,-0.2527997152481235,0.22592951061835667,0.5064672218577625,-0.10982758831211926,True,0.33871735918827817,1.0825892680705949,0.33871735918827817,-0.2519051506645416,-0.34944095825159266
杨民,186,20,12,-21.52788933731465,defined,-0.19191681748172276,0.4672929110161035,1.1689154894221052,-1.1273427478274152,True,0.5895918177947711,0.5283248157562705,0.5895918177947711,-4.577550180515254,-21.527889337314647
松云,15,20,12,-7.099443303703012,defined,-0.10938945618759648,0.2403226811387364,0.7334540884934957,-0.6664753413105262,True,0.5415319862987752,0.6133531444818117,0.5415319862987752,-2.5860608331088244,-7.099443303703028
桂花,83,20,12,-1.2264862023305008,defined,-0.18324008421200794,0.18144096553916508,0.488997375705024,-0.0531096647037397,True,0.9275252114160538,0.07523530275023939,0.9275252114160538,-0.16206044804587294,-1.226486202330501
棉江,113,20,12,-1.351957610802839,defined,-0.01605317206674287,0.2030471310260041,0.4648910318366314,-0.31419863894797223,True,0.511099691142473,0.6711906175076886,0.511099691142473,-1.0364965865580893,-1.3519576108028404
榕江,171,20,12,-0.12717467395361837,defined,0.08797749528415284,0.15079384851018823,0.3174123967441845,-0.042430708408838634,True,0.42675861554088595,0.8515367287805368,0.42675861554088595,-0.14192274725245702,-0.12717467395361873
武林渡口,33,20,12,-3.159781536603764,defined,-0.21415806441637306,0.31052177872563774,1.006346600298488,-0.824709583971709,True,0.4276831908714293,0.8493725657340506,0.4276831908714293,-1.671432025590305,-3.1597815366037647
永昌桥,158,20,12,-2.9342542998352714,defined,0.042541893436030875,0.2634739314590792,1.6229719332633405,-1.3447692079085114,True,0.527303278760477,0.6399794144478307,0.527303278760477,-1.6434933866099724,-2.9342542998352696
江边桥,193,20,12,0.09809523855279922,defined,0.6838142396104933,0.24106358027988814,1.3435483971113613,-0.7315059505544973,True,0.3642038931301094,1.0100414222067466,0.3642038931301094,-0.5170646982380125,0.09809523855279917
清水江小学,160,20,8,-4.469722187730642,defined,-0.4007834043757019,0.48051759909301134,1.4141666008250287,-1.2502183240626468,True,0.19533093614873445,1.6330600504246426,0.19533093614873445,-2.0676066400490045,-4.46972218773064
渔村,90,20,12,-2.377460433720602,defined,-0.03447730105110521,0.29551160996843334,0.7833742266455384,-0.6092016536981045,True,0.5452585435095825,0.6064952050463882,0.5452585435095825,-1.429179998649532,-2.3774604337206013
渠立,114,20,12,-1.2427282885113957,defined,-0.09613938233618707,0.16577600433408102,0.4439506818944439,-0.2112970594453253,True,0.7663775789397482,0.2660803077902862,0.7663775789397482,-0.7127661333556073,-1.2427282885113933
滃江大站,64,56,12,-15.948222788187309,defined,0.5978907800810526,0.7616957217734155,2.2227873424890814,-2.173498745013793,True,0.2804516844546963,1.2713538167891114,0.2804516844546963,-4.025534572409131,-15.948222788187314
火电厂,10,20,12,-2.7158828747862804,defined,0.7936256891456559,0.17789170968053097,0.48501935135659907,-0.45238129747476413,True,1.129952445778257,0.12217554845664542,1.129952445778257,-1.7979457505806986,-2.7158828747862795
爽底坪,2,20,12,-3.1325315106346565,defined,0.14900208247513086,0.26796710391287054,0.7364667552012123,0.6227373536662696,True,0.5962046397678645,0.517171315534525,0.5962046397678645,1.7189365910258068,-3.1325315106346565
狗街,190,20,12,-0.44229593386237487,defined,-0.4620058078717243,0.43020355195943377,2.499976988833188,0.31664689064755996,True,0.33336010016237866,1.0985319914048852,0.33336010016237866,0.15211302609134578,-0.4422959338623749
甲洋,164,20,4,,fewer_than_8,,0.19807569202626207,0.4385667678149476,0.12940508983873056,False,0.39543125018657266,inf,0.39543125018657266,,
甲茶,218,217,12,-0.5905528292125461,defined,0.24260484049835784,0.11737566232928179,0.2533092024617663,-0.12511887807631938,True,0.7538349472583954,0.28258183777722923,0.7538349472583954,-0.6229395763538383,-0.5905528292125454
界牌,183,20,12,-0.3580840147056459,defined,0.16169883443564395,0.1440098867728195,0.2869913292005544,0.09210520478555194,True,0.656016491049763,0.4215693515586518,0.656016491049763,0.37400612578274317,-0.35808401470564544
白沙街,51,20,12,-1.8718648732353236,defined,-0.4573249482027463,0.16625612425470407,0.42585242671891044,0.06992473730326614,True,0.9581542309422729,0.04274652133634695,0.9581542309422729,0.2782618818503739,-1.871864873235324
白马,141,20,12,-1.5017905725906475,defined,-0.3842173059625117,0.2873138418676449,0.7269488376302516,-0.470792372764336,True,0.39044885304049404,0.9404582964101172,0.39044885304049404,-1.0243563114889598,-1.5017905725906466
百雅,116,20,12,-0.34035543243804556,defined,0.5326279649230753,0.14995344068797722,0.40840218012245794,0.21352160175191046,True,1.040241561180153,0.03945295654822789,1.040241561180153,0.6052903587131545,-0.340355432438046
盘溪大桥,190,20,12,-0.12423468170864993,defined,0.01953827502084855,0.342248806073628,1.9159047563531562,0.2732675777814091,True,0.3385138460800782,1.0831902832416114,0.3385138460800782,0.15123164671086117,-0.12423468170865007
石咀新村,37,20,4,,fewer_than_8,,0.284162828115726,0.7102818088687574,0.6612341363879439,False,1.3440673024492704,inf,1.3440673024492704,,
石角,56,56,12,-7.78063303633396,defined,-0.6297917630190354,0.2105207267202498,0.5565345745727299,-0.40037937857219824,True,1.276194340727602,0.24388247797087922,1.276194340727602,-2.131780399906446,-7.78063303633395
磨盘山,81,20,4,,fewer_than_8,,0.17981283737879375,0.4798727026482548,-0.2562783033447808,False,1.2939027911738887,inf,1.2939027911738887,,
禄丰村,190,20,12,-0.27950784160670117,defined,-0.045710525512685105,0.43663769755263804,2.2255253994836997,0.734046470387271,True,0.33165120025175127,1.1036714639857585,0.33165120025175127,0.3730890264768363,-0.2795078416067013
罗村口,124,20,12,-1.2008063861704668,defined,-0.16246285551077297,0.1371037274941835,0.25626978408739914,-0.02830008020144434,True,0.9331473902849571,0.06919211602951596,0.9331473902849571,-0.1638253792872179,-1.2008063861704663
老口,143,20,12,-2.0309516479402174,defined,-0.2837265179688662,0.3560958176021008,1.0454196425724507,-0.7854748037709077,True,0.34904856425907954,1.052544213855723,0.34904856425907954,-1.3080703651755021,-2.030951647940218
老鹰坡,225,20,12,-3.967970819698052,defined,-0.19312415272571556,0.6606681090488924,3.8302557914549973,-3.3881483264350636,True,0.15033691954696762,1.894876373352489,0.15033691954696762,-1.971624266917349,-3.967970819698049
脚板洲,79,20,4,,fewer_than_8,,0.4099137729666008,1.03795209336475,-0.3418492108613019,False,0.23516464690518285,inf,0.23516464690518285,,
自良渡口,7,20,12,-0.8307235863157274,defined,-0.18987506142650337,0.14042665019466372,0.4860435694959196,-0.13328887941930348,True,0.6639981736320556,0.4094758800636191,0.6639981736320556,-0.37104800729565474,-0.830723586315727
