station_key,n,dynamic_eligible,nse,r,rmse,logrmse,bias,observed_sd,predicted_sd
三溪桥,12,True,-0.359949114357206,-0.11031147176049054,0.5474958200630138,0.1866106488865941,0.14362066667558746,0.4694825757031765,0.1959868375728968
北江石尾,12,True,-4.260277663503283,-0.5740019333726063,0.8006643888072366,0.2778075641711147,-0.6757979901853824,0.3490970495435331,0.12000002877190706
十里亭,12,True,-2.8448960147514972,-0.38559303622113283,0.884095378752852,0.3209881572445717,0.6889586434131659,0.45087569117095777,0.1920650463719182
古市,4,False,,,0.6910963307138465,0.2824843254085796,0.547593541967996,0.24933661985356267,0.17630013634602482
官渡,4,False,,,1.9385280553681417,0.6466297040689936,-1.8079363743383243,0.6446122865723241,0.0734844848982799
新坪山桥,4,False,,,0.4930607065112832,0.2010010418260987,0.367660579795408,0.3531554190437972,0.13650421631222517
滃江大站,12,True,-17.65501204086222,-0.30754462097344953,2.040830844414095,0.6894183259825042,-1.9777034481177769,0.47250808341116124,0.08169114132452122
石角,12,True,-1.6246547067615733,-0.6863407613256305,0.4547837496255237,0.16138348642949887,-0.18649153081150857,0.28071708771169124,0.16839734630931422
连江西牛,12,True,-1.544123362355124,-0.4385564811692096,0.5284839412141238,0.2120260247201911,0.33360739836634945,0.33133148892846803,0.1363573261197063
长坝,12,True,-0.5468558069327343,-0.49520144925944903,0.41627181618499426,0.17790739964673719,0.07427534700483077,0.33469720976163253,0.12272542061540728
高桥,12,True,-0.6859540790236391,-0.41465550764877945,0.34102499763537225,0.13080255289499698,-0.07798905322244026,0.2626414962559335,0.12151921637356433
龙归,4,False,,,0.3958308229988804,0.20210820973934054,-0.30321103302961827,0.25627134057479,0.029485821341799345
