c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38
7.6359928380398401e-09,7.7836025402788794e-09,0.05189569007319661,0.012840343213586954,7.9500003247190421e-09,7.5443543634534632e-09,7.718843231252494e-09,0.052296304583612792,0.071076925794429716,0,0,0.036633604215168696,8.0549339420699084e-09,0,7.5795060228145417e-09,0,0,0,0,0,0.083837556079060058,0.07535079863980676,8.0309902061870275e-09,0,0,7.4489758805640341e-09,6.9691803439297936e-09,6.9691803439297928e-09,6.9974259719884921e-09,8.6626238404718964e-09,8.4374377484763857e-09,8.4818442269707361e-09,0,0,0,0,7.2297279274380352e-09,0.048177455592859582,7.3531651878511192e-09
0,0,7.4032346919494768e-09,7.8221277233225806e-09,0,0,0,7.1610910534758424e-09,0.015269111972889271,8.3723467048102407e-09,7.7293765832209244e-09,8.010895613530522e-09,8.0549339420699084e-09,8.0686822778730516e-09,7.57950602281454e-09,7.9219814042019721e-09,7.4763047974713004e-09,0,8.1172361054981934e-09,8.1345862268378255e-09,0.022660779562334473,0.013905331200160354,0,0,0,0,0,0,0,0.057027255190411623,0.0075782554822345647,0.0021517613022902222,8.3300050190970865e-09,7.7788887553609243e-09,0,0,0,7.0338881386078356e-09,0
0,0,0,0,0,0,0,0,7.2323638189430994e-09,0,0,0,0,0,0,0,0,0,0,0,8.1344123659121692e-09,8.0898260312878295e-09,0,0,0,0,0,0,0,8.6626238404718947e-09,8.4374377484763841e-09,8.4818442269707345e-09,0,0,0,7.3327754979146659e-09,0,0,0
0,7.7836025402788794e-09,7.4032346919494785e-09,0.0023373087252559484,0,0,0,0,0,8.3723467048102423e-09,7.729376583220926e-09,0,0.088568921942158818,0.051018686392923951,7.5795060228145417e-09,0.016727177143851635,0.0019220778488466816,7.3695747282442889e-09,8.1172361054981951e-09,8.1345862268378255e-09,0,8.0898260312878278e-09,0,0,0,0,6.9691803439297936e-09,6.9691803439297936e-09,6.9974259719884913e-09,0.048921889057701007,0.046120762356499645,0.031606971624599689,8.3300050190970865e-09,7.7788887553609243e-09,7.6653553504613098e-09,7.3327754979146684e-09,7.2297279274380344e-09,7.0338881386078364e-09,7.35316518785112e-09
0,0,7.4032346919494785e-09,0.068886632716202989,0.0095465155156772025,7.5443543634534649e-09,7.718843231252494e-09,7.1610910534758432e-09,7.2323638189430994e-09,0.19935051662428738,0.038602231550346248,0.061382826542977775,0.23759071282722433,0.22669103550307712,0.1377851558359573,0.18891653490272198,0.16445194019136411,0.16142202544348813,0.19300619038262948,0.28860721521347854,0.18104515536073817,0.28967119093857746,0.18054622324406211,0.077345173371474604,0.065858625595538248,7.4489758805640349e-09,6.9691803439297936e-09,6.9691803439297928e-09,6.9974259719884929e-09,0.086688482614346557,0.1489016382142172,0.16877286958281779,0.31668651577476647,0.21242876795906387,0.20935420628348597,0.11275495429932912,0.011028567993483951,7.0338881386078372e-09,7.3531651878511184e-09
7.6359928380398401e-09,0,7.4032346919494793e-09,0.018645661909232447,7.9500003247190421e-09,0,0,0,0,0.14475095280249894,7.729376583220926e-09,8.0108956135305204e-09,0.18673882462205804,0.17677939471908485,0.082639225181962539,0.13457569062634589,0.11113515739305634,0.10926901678385414,0.13657867702140025,0.23681652237443784,0.12399928977332041,0.23878840948003452,0.12402156276097473,0.016882360246918027,0.0048853027891584419,0,0,0,0,0.020891444515112264,0.090524922894373958,0.10973355605630163,0.26683129564265906,0.15884733218659505,0.15641921969052128,0.057832022352331321,7.2297279274380344e-09,7.0338881386078347e-09,7.3531651878511192e-09
7.6359928380398401e-09,7.7836025402788794e-09,7.4032346919494801e-09,7.8221277233225806e-09,0.019133058462531216,0.030528397412218689,7.7188432312524924e-09,0.044408044811010017,0.1266485917442304,0.23054299382079663,7.729376583220926e-09,0.032902361481106146,0.14905381645580398,0.13423775643205027,0.028861009930088326,0.090280398427927996,0.071112942654146902,0.071509240869485069,0.20954029074009492,0.27892219904467919,0.16991656182041712,0.30744591897736945,0.17044968132686555,0.055667230545175306,0.035824682751942727,0.022539555557863467,0.053713826312210562,6.9691803439297928e-09,6.9974259719884921e-09,8.6626238404718947e-09,0.049758692648418493,0.079997742262609584,0.2879934141209724,0.15437146314183545,0.12035492542145598,0.013825522426836099,7.2297279274380344e-09,7.0338881386078356e-09,7.3531651878511184e-09
0.35015233986618266,0.32297788498014146,0.26294752974744295,0.45472235607526801,0.16703627008224367,0.21421796192655174,0.19013597359526924,0.26362328739362623,0.32946056532142004,0.3131159469168413,0.17905193380881124,0.15305483393898611,0.60476029986129209,0.56246165699839801,0.41517360098064571,0.49449898051476177,0.45040085586459561,0.38233567593016415,0.32300232723678002,0.41648890529780591,0.2657684137847941,0.39419984313332024,0.27302791345598831,0.17234470636262511,0.16017500455981185,0.2186466205371046,0.28735105732477356,0.30717826712570462,0.30307353220810079,0.56109975401629952,0.54892415377336601,0.53038508588083455,0.50382191820373645,0.31695099150533707,0.29984964047426188,0.23075222451125299,0.29092877560229713,0.34139447972713066,0.40156437008047052
0.38096872333129589,0.32186792600433989,0.27924932376959344,0.49649618839318993,0.27624275114787916,0.27355972162693071,0.33897132767211591,0.31476165101307407,0.29200920106767631,0.45505028563267819,0.28631754489850503,0.2964383054764187,0.73406487377857377,0.64889762890892411,0.50998024651658169,0.61887196651959286,0.59871069201197913,0.55633997662956847,0.47715786096618579,0.55230656862623029,0.50756907382950001,0.54207995992191416,0.43735423041305277,0.33342156726663402,0.30038216964160164,0.22935382566688209,0.27538747913325734,0.31212840697243605,0.28969931897941681,0.5923227366129904,0.62163063431041465,0.61057845899660801,0.59848986088723954,0.51360459145204096,0.55749081125210953,0.38462426483955076,0.31731227936495721,0.36253720034541426,0.39477801657991485
0.33833570574943406,0.27537859636198581,0.23133078098927584,0.46116781453460387,0.22502811299440106,0.22454011108726946,0.29134730106395085,0.26943939956011709,0.24563145675904219,0.41306761091421118,0.23673098471342446,0.24563854949284855,0.66372753987035527,0.63286756743757588,0.47216680224706575,0.5959810962155796,0.57059504272777994,0.52121400655545225,0.43559701781675408,0.51584774362090935,0.46839945405494576,0.5050465353609328,0.39400627073156436,0.28579055788298002,0.25087548746299088,0.17895419729757633,0.22936566811730777,0.2676704021990548,0.24414966950781361,0.564295557549649,0.59949284919363799,0.5865702086789053,0.57128360285054247,0.47540919461498499,0.52286878103104728,0.34200309244533311,0.27241970346746397,0.32032235557019922,0.35766402171453715
