c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38
157795342.73575619,67998413.385481745,2522462.4955810765,2985868.1772890142,20422450.846475575,10802141.594397943,28750218.208773796,17332887.585694253,638753.11644985562,8687797.3737846222,32594223.141877256,28109686.990050994,8133310.6118999692,1821051.193346743,5206231.0234825136,371622.68149505724,589348.79852788721,1272465.6990007907,5638306.5600701692,1829972.4806053224,69776104.461253509,29089292.122292615,8442634.1410307735,818884.8796618348,7306251.2894904008,81145993.353245854,29820744.085650522,22847196.290813316,3510238.3758894224,6357775.6276355162,3564469.3462522076,9896673.923131438,4166647.1512261466,1575123.7423028657,199882.32253701668,4769896.59458871,1172306.9979144672,493655.31198163144,5553345.3942428995
137799812.62733585,56988780.170428872,4358687.4268434448,9350000.9650594126,17636150.228161272,9260922.8894314021,26199795.307073556,15629101.606348164,494516.06022373086,8094702.5535570774,31566337.481834758,23285899.951968815,7740160.893959838,1684449.7217532508,6890975.7966419086,347765.64329557819,553054.1289530216,1178531.9511307022,4649407.9712647824,1423216.734139344,58573077.424172752,23789052.94040513,7018410.8587727444,682260.98214013758,6092838.7638329957,67205130.465941846,24505087.349783182,19188312.558185201,2833291.0530069936,4909531.0574022271,2938146.3403342217,9208603.844396349,3155014.5623023622,1224391.2456278556,177865.23883981732,4422260.3803241178,2871296.9808590841,2597410.6405660678,10226453.473324718
103129085.24093436,42491173.28663677,4517701.5735963825,10520171.709009983,13048445.181018459,6882839.6440922795,19293738.445259474,11619920.173707904,362544.85730032629,5686084.4344210299,25003159.982619297,17131558.994290985,12205701.996067252,1949865.2550565968,9669876.7443180848,347727.5157247989,512001.24991813069,1092520.2062102747,3255037.9303228818,1266415.2898532215,43503780.153394833,17457978.629740007,5211795.7892334042,511459.30074895808,4553713.9057857664,50182598.059443943,18204985.11367438,14362709.114749841,2100161.8251177529,4448788.9906474361,2883329.496282862,7750447.8674915852,2840270.7494715373,1107864.9008288803,161016.54943312253,4913933.1667205626,3215684.7340599843,2708197.5023131492,10385143.741080381
76314727.481605023,31325505.481766243,3184210.2106957203,7714256.7834168812,9427911.4446655605,4969574.0590540348,13835223.853104346,8348108.5537185296,258426.40185831219,4151619.4103594124,17827369.295877568,12390458.089039389,10776786.760546459,1894529.4477862085,7332098.2087219059,330738.47447557404,476013.9004573751,995629.83440102928,2216594.1603458757,1141954.1186302418,31879945.106553275,12694636.166470584,3795157.3362023272,373501.46389846562,3323266.7042256664,36671393.285133302,13224564.441209156,10539298.081520263,1530492.276404961,4330863.6295073358,3012124.8354246332,9169593.1696101464,2986823.2318250793,1009826.540026509,147947.40907833702,3522283.223709065,2284242.4041418852,1988216.4817052281,7866493.2490443345
56176891.489295229,22931108.469647735,2154167.2696430041,5353089.2648244444,6710696.3005343024,3531090.3437747508,9776934.0074603595,5910356.0920374235,180865.70174685094,3669091.06477792,12222525.418804392,8818730.3757397365,8488608.4844736811,1714819.6136257472,5452955.0052069053,298142.48787469883,424279.62707181484,874005.41992282169,1939635.8152811807,1009403.9065380626,23349776.713175267,9046559.3507907912,2723515.8034668881,267202.54877941147,2387897.6651081815,26563154.276938584,9444098.5355377086,7573517.9132840652,1089836.8560062123,3352945.4019749314,2346067.9321960458,7162104.2244570488,2708959.6790400185,889527.48511916446,128778.98905554537,3105432.5026491061,1569121.8613362329,1420420.2945216494,5415844.0765524358
40752706.177746378,16523269.940057982,1606060.4203323899,3638396.0798618649,4662251.2432715008,2514322.0023410739,6684736.7131055193,4137941.528115978,125799.30957883476,3272897.1170271356,8103502.9311812399,6144983.7361365613,7840884.6090791011,1508456.5450178199,4798347.0318159293,260679.15958275041,367843.72324924456,752446.88486615254,1686013.9628880152,873141.67714076024,16870382.353763521,6385308.2302972926,1924160.4951754182,189997.06633642261,1701175.6200146375,19253965.380784139,6750502.4690715857,5436389.1707912739,774118.22342828137,3164679.9932335061,2027373.7688956126,6378430.0576225044,2381082.3697254295,770583.19510357908,110814.51275880949,2715598.4295772337,1042153.2050443257,992938.04843345669,3623434.971839081
29841112.68701433,12322994.885125088,1412497.4664786549,2800872.3953112047,3216577.3079034826,1770092.1732618632,4485544.9321463751,2849768.4384906865,85047.04777380485,2905707.0034014061,6848291.0021309154,4205874.2792812083,6928237.5066088177,1317566.2553740367,4144569.5213601477,226046.89542438532,315641.01966643729,642703.50583359285,1477120.4017815737,754654.02966501436,11990382.714430958,4381696.6592094498,1341886.1736711655,134902.59256611837,1206913.7529111367,14150851.231560823,4887854.4797388334,3897079.4578392878,540844.97407857736,2432800.994414357,1795176.4502789122,5616314.0599615583,2080521.0069238285,667282.61805712886,95541.537127006086,2373405.174462995,904006.33250720694,683457.14990243944,3180933.2487911116
21781467.518734794,9071606.8845609818,1241260.32830619,2500354.395551336,2148587.3904136913,1214261.6332673316,3615433.1621757881,1898028.5603789061,64810.282272058699,2526962.0959361545,6034886.2769603292,2851523.1436850112,6087333.3553177984,1145278.6918879249,3617670.4998151241,194942.75704600755,267942.5474896715,543668.55320145783,1282129.5706248791,642423.25811810151,10555329.250803079,3051164.5568294185,1052713.4162593638,118029.31305103081,935080.96060853044,10393412.958957909,3460800.0616080388,2733021.6562346383,370095.05419119803,2148411.2629419211,1580360.5246540713,4908158.8400542261,1798021.5911991966,570503.85807197751,80570.422035408992,2059304.2906037155,801068.24698494095,456043.59602090745,2847192.5799135524
15772001.077327281,6816481.8976804512,1202692.8668767808,2519373.7454812028,2865353.7739394973,1493465.3156263807,6041067.3853592528,2495067.1581903282,67104.593590800898,2533210.7810882255,6498512.7394250985,3155428.5071583083,18403791.375917286,2421975.2014624602,4818564.7033433812,379264.0925528761,593099.32674725063,1101179.5106082545,1626251.975485632,768134.80677389982,15937682.487016218,7843696.3456470193,1646201.9657566438,134878.99709020485,999410.53255163133,8562453.7541586906,3176876.384350325,2109183.819847913,271682.25629652943,3015427.1584744155,2755484.7575860005,5879574.9978902908,1839023.895607291,617864.82961889927,75576.660478716891,2245103.6033677747,743703.95177224616,402033.41981597745,2568800.7462701201
11583457.689781645,4807675.4013230419,1068719.621132344,2466857.0296520158,2103755.2109204642,1015680.0643869472,4298293.6857387125,1806263.0722135326,60923.079088162907,2913047.029920259,5820599.0620031795,2659811.0208218959,27645174.297997445,4287233.2976253405,5107790.6289340919,548110.7600783495,676330.11758975103,1101895.1765601304,1520827.9156218274,752869.44640962803,12597872.663175572,6959845.6079342794,1288571.3701825386,97770.217067831385,708773.85840993526,6065636.7009214684,2201903.0882577067,1441070.0104613591,251274.15821357135,8854618.4467164148,5400568.3355977125,6579652.9932252523,1856277.0317999674,563780.42573059606,63558.412943082389,2011368.3225754348,666679.59414729883,357024.50117510627,2324318.2647084389
9389124.5649684928,3569398.3329087659,1008576.9488857599,2841567.1249444969,2585979.4285075818,1124979.5590545179,6413569.2406768026,1723821.9669366423,53779.875895419871,3527173.9383501024,5948475.2576531144,2481742.5036580414,19936016.546203047,3038002.8484954345,4945344.0283874236,389733.38758003194,580063.21504225151,1010700.8053772744,2421909.4245631429,1109416.3626502124,8873650.3047269396,5114614.3017710792,931550.3950236754,66201.990702096737,504159.61488247151,4465949.579263851,1847942.5939506544,1225525.9972007507,240342.33829493413,6418226.9767779307,3971985.7592544048,6691760.349890383,2675036.8171580522,658470.83948420093,53853.94916612481,1879685.3726521425,724358.03255729435,715466.40398863261,2558480.5593578527
