c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38
6832486.4631153429,1861165.322979738,1877126.7808959056,2710117.9846517919,1799727.5938848027,2620772.0638733539,2968572.6949854959,18060551.714247648,18110324.419940952,1967305.5748461897,6519150.750706668,2381403.2021239046,6268001.5977198323,1533605.5799030166,12538712.782607147,260891.3909700553,2225068.4775599563,3169061.0176969748,1198359.3981963182,3891583.6223926228,4197914.4114906788,2382345.4169969223,3028303.3620406585,14633244.079446353,15115274.813612256,21049172.409174711,40660231.386896737,43617729.482648924,50643992.404367931,1124502.9027382066,949417.81927266798,5486272.9101742227,1485983.241837814,6067213.5387241617,11674084.728833934,23907833.361707903,37441236.420912944,39755664.989575393,45594132.260686144
6529995.8115462437,1754868.9281058586,1746285.9759217938,2525259.3399485704,1673920.8583359255,2440606.7619428337,2789811.5524974992,17941207.766919117,17988100.926725034,2112825.4911346682,6122528.5361341033,2214220.3668459454,5845055.5272229603,1425500.223911071,11709536.515692519,244064.24020952839,2211350.7817847845,3098909.4469642551,1157777.5168174247,3993061.8006684673,3871863.700987312,2211580.4919062634,2808201.2438888862,14467367.597738139,14913662.363991486,20474186.402520306,39885762.223862506,42693476.5324504,49414904.863524333,1115790.3874349229,942048.42399588181,5443946.3026330564,1471390.7180193856,6125549.6053030603,11685381.104750182,23303093.993376311,35940751.443079732,38103529.279424265,43548991.339929149
6972954.7066717865,1966081.1724565718,1917697.0745212126,2620790.0641044811,2054912.6185503874,2934627.1156342649,3101724.9944652533,18178668.068822052,18226030.744800661,2194829.2036740766,7563325.9434873099,2996319.9454488764,5534250.414750631,1358764.4759056687,11877906.836104568,242238.86116696976,2204666.9435044266,3140239.4783466351,1272147.7279744712,4198894.4884078866,3702638.3248647158,2233208.274165431,2871287.6924356148,14414152.721331505,14916325.095690638,21530469.674312893,41273236.490927123,44503959.975612476,51734970.471694186,1106867.5092815401,935388.30635347753,5395329.2751954198,1457621.6454992418,6398443.1288931351,11934369.288965307,25814502.754032318,38785642.322892688,41137408.37500909,46829690.405764975
12318845.24279782,2961472.8308768533,1942585.4824441718,2782728.4936437318,2284269.5808353857,3323952.4369719671,3205251.858734949,18382496.025842998,18452649.167740662,2100105.9799723127,7413149.1504403288,3375514.525283902,5238946.1412392789,1298434.0520314474,11452296.274416426,227489.36170877033,2192181.8711865228,3084766.1330119269,1238954.8478704402,4060022.0631050379,3857038.3618911076,2313524.6054358948,2993724.7068944774,14457673.693239748,14998210.397064248,22632145.75877659,43216346.947320342,48322081.581662335,61349542.051320046,1097586.9904417926,925579.07757083455,5295356.2228469923,1443362.5334322378,6221498.0857711006,11650307.376788018,25209994.388387617,37805280.810046114,40235662.861751132,46791819.848671161
10750454.479448862,2809983.9920070348,1997205.6410537891,3266139.0765185012,2236077.7391558681,3259225.3429938038,3159637.8579505309,18343875.487516366,18413931.079889614,2040371.5170960331,7157341.4839132531,3347663.7407028135,5610796.3757917993,1419499.7494468584,12340011.115133841,240556.91182352122,2195388.4563718112,3101352.187680712,1195266.1306709843,3953698.4971930762,3780373.3101344355,2258489.7068609251,2920365.6662628492,14392386.711646348,14921665.438455462,22462734.749809276,42946043.60190168,47726680.539867014,59029945.690332502,1090042.6822451581,925597.09456504846,5283087.0519684888,1438474.216045873,6093150.9271220788,11506198.263174156,24831627.449022721,38442134.200101793,41071445.879065476,49119132.447827391
8713439.0728304517,2603875.4673933117,1862192.6802464516,3107499.9504240751,2107416.4845945924,3071811.4737351886,2973915.617732082,18212306.821864501,18277762.088886064,2077882.9688461237,6744813.2167619802,3163419.1311821188,5312141.1323283175,1325660.336581945,11710203.903116116,231245.89069381019,2187748.9745116658,3048131.5061819372,1163219.5525086173,3956214.0006680652,3561444.5903023533,2134296.5649059797,2761386.9577586311,14268479.878445581,14768056.721379012,21901719.026768461,42127659.770057112,46557756.031620249,55698447.861024991,1081899.5402662882,919755.62260113726,5309691.8560062964,1458374.0217131048,6085966.9166511679,11518424.472955937,24199874.741719659,37093369.562579408,39543275.961999573,47129170.329884425
7973823.1352136806,2407253.2560568927,1730260.6277947798,2880452.0455696625,1970966.1582052791,2880090.6987031139,2776179.4777015396,18079380.5883222,18140458.098694924,1983083.6947314253,6261777.6797953472,2935829.9239535993,4977968.1956238206,1236416.9852662431,10926801.301410852,217215.15675983505,2176589.2285837112,2988394.6378842834,1100516.487848768,3794269.5671403063,3295711.4848922193,1990807.4394754034,2576924.6537676011,14125179.317862345,14592746.368770702,21248299.896892823,41208537.464024544,45304080.302420579,53672243.161913864,1073558.4270039538,912738.38914201176,5271404.9605839178,1458247.5416519521,5895891.820365143,11283332.600482022,23230977.954273369,35257091.777467921,37536971.316414259,44569896.42416621
7500507.3054102249,2216425.6700649709,1610229.5302419169,2658890.4914711616,1827749.6665168032,2674206.9230594458,2592109.9116890584,17946114.495583601,18003108.738491148,1942509.5258692738,5827943.2211895846,2711219.6778524709,4673068.969021068,1158211.4860637584,10190616.010992203,203324.11273245479,2167871.8161236984,2935346.0820952547,1076195.4756381956,3723487.4333868031,3052684.5976524861,1856904.054548376,2405501.4867464462,13989948.207645038,14427342.109967811,20606396.577967379,40306438.140552163,44082804.676445425,51946680.258568451,1065188.0166441821,905568.28002176492,5225682.6898321379,1434568.6759223826,5796506.4481259696,11136863.930910151,22429120.909228403,33642583.199634388,35763486.702340208,42268428.77598621
7109157.0539332842,2060657.1256919601,1500809.7646266264,2448909.5725535816,1694142.4267504634,2484048.839203795,2426552.5085535613,17823678.372064151,17877072.856264673,1923328.2257275279,5435531.8198691057,2499348.3705326417,4394121.4871254666,1083681.1663347862,9511136.8237606045,189642.46718750038,2159507.1772163059,2896333.2699452457,1067648.6815373523,3690204.944538204,2831191.0561376987,1735864.0687824455,2245984.2412241041,13862131.239710152,14268704.293898344,20010866.56752488,39479137.566118896,42988433.396231771,50434472.966401204,1057040.8579615434,898112.99662905978,5167572.9084483217,1415317.6596492543,5739044.7621628419,11020444.007122478,21729172.6966599,32193140.953058902,34168649.472566463,40181377.740349703
6765906.4957159217,1918992.0142658169,1402192.6702581735,2298212.8175184843,1578481.6631735484,2317785.1265726485,2282210.59945786,17714549.52733418,17764707.006926559,1891595.2610786206,5089954.7916675508,2316833.3154390347,4359099.8233423252,1029617.6413644048,9207095.6234539337,187517.57691310908,2155150.2120467806,2886776.9163852553,1059495.2684437789,3645038.4045281359,2636844.9771211222,1628833.4533423812,2103440.6006837161,13744664.80134513,14123082.090335909,19492982.000766318,38753119.797818951,42019318.422501706,49097702.515768051,1048690.5334728099,891116.79070319829,5130134.6066979719,1402793.5522297863,5676931.4048377965,10920065.753616478,21147455.836228471,31244883.675083831,33090747.099037584,38709726.984323613
