c0,c1,c2,c3
2298620.3218139852,15942454.312073974,2298012.8123561204,10271210.997366145
2295420.6693792101,16022148.345357124,2415032.3683861638,11448071.135914568
2292914.812209765,17614755.754786335,3066916.6474146196,12815292.314054856
2290399.6588813076,16699464.777951315,2742086.817685002,11920657.863537231
2287990.0996118099,16500874.072397318,2746839.927403247,11323770.309272345
2286675.6130663492,19282741.675359171,3087967.6724625495,13129221.891538709
2286600.8192103873,20716664.424224611,2991505.87942268,14029913.373373069
2282885.2673879513,19441005.906088997,2996253.7883452252,12980839.162014578
2283357.7816458982,19995700.104623925,2906213.9697792437,13580471.114368446
2279773.6250109859,19081596.655036069,2681212.1073673679,12680509.252676541
2278019.4266034928,17959997.748105325,2426891.5779527542,11710537.193962287
2275747.2744811098,18542772.022538103,3801713.2134054713,17186088.146593671
2288337.6292931922,24151170.908137262,5437048.5749329329,25968712.497787483
2301681.4617840657,24680055.779673073,5190957.1248692069,23636811.186442398
2342897.0947053712,26044512.878537636,5707505.5636185575,23726143.953983694
2467394.2625898169,26724478.884586751,5179302.5475798296,22333714.691463169
2451996.0252972902,23701737.996695656,4354938.0011006072,19337912.406205349
2426294.3799269088,21095294.451749969,3685520.0571091133,16662405.0700568
2401944.2912385748,19130730.958205853,3185117.1596466945,14638009.255963905
2377596.623708949,17714398.20900967,2806518.2690970758,13089785.485928711
2362733.2654657192,17937984.687204503,2597004.2998677334,13553990.874681246
2350878.054943529,17058787.938269671,2392598.0225410564,12443855.641928896
2333862.216276451,16589570.79860032,2216480.8111295733,11772726.30346272
2317741.400142774,16314076.59353788,2113125.0911120381,11438580.386658192
2302280.7487353873,16098984.372144204,2068808.5993597524,11230264.306788821
2288008.2358852271,15897033.925474251,2039842.5303343763,11031758.179322021
2275060.0370270819,15706864.413215375,2009357.4437081222,10843463.005627979
2263314.0186575493,15538842.26261382,1992490.0335482263,10655133.492934339
2257022.4671710203,15383383.645167971,1988837.2904273153,10498805.960121771
2254514.1320200572,15243360.914763728,1976261.1461580293,10354312.48660529
2252206.2855792264,15342612.925577506,1977385.2631478107,10478325.541589782
2278480.42455565,21656440.224487595,2546437.977933275,14286517.312036339
2326337.9091411061,20961990.97839978,2549610.23078549,14146653.420007411
2312282.3596931025,19348634.670883343,2446314.0646018949,12915113.327819245
2296121.9082870348,17985885.083236534,2263717.7948111985,11966307.156032134
2281136.4102261066,17079570.512726303,2157678.7726221429,11555595.123231737
2267144.2191313594,16538888.039893532,2074331.3234517025,11317879.619124386
2254673.2235409305,16293422.723572269,2044033.5205619503,11108707.3541172
2243351.0812545842,16071473.253730852,2015773.3937885561,10912756.414554801
2240107.7869982664,15868332.534154708,1987814.5596670974,10730731.984716838
2237598.7223843113,15678906.261195505,1963225.5242334572,10561106.880782805
2235181.9693908142,15517431.688132107,1958362.0198666477,10424353.928768575
2232717.4353499701,15364886.431764681,1951559.1100139597,10283955.463375896
2230292.0122519783,15223745.290454006,1932842.6629920611,10147837.522969287
2227815.2144126943,15089708.682580309,1912508.635902561,10024816.32527345
2225336.2589432611,14967945.658044424,1900533.4165247767,9911867.5289485194
2222862.9066263279,14856838.326244906,1883817.4127829559,9802258.4331343696
2220393.2998204781,14798945.415655091,1871109.3439814728,9705736.6479270123
2217984.4248188809,14704865.52823019,1857827.0676036151,9611041.9908248987
2224271.8714890662,15586057.554277157,2210578.7136299456,9669895.7867374346
2250352.1018264075,16879486.14277539,2448757.2074610498,10656687.837040782
2336051.0422051144,16664530.687837603,2266359.8995166882,11127097.419688221
2325363.845803903,16421175.904058006,2121544.3475561785,10992985.926306989
2306549.7406798969,16261080.650517495,2160683.2503877105,10800420.747772144
2289218.2492598877,16069838.734976072,2151353.8864432191,10601888.556920078
2273323.9572684276,16082820.021552721,2656442.7876386037,10672066.516172918
2258520.891717291,15971067.190077674,2560616.185293627,10556607.580413936
2299648.3923628521,19227663.303521797,2573499.6352094626,11498560.33348011
2297119.2382197189,18932403.159107294,2392604.2483314257,12394807.630116954
2301665.7240101635,21474287.945912883,2589154.2831279016,12773087.478771286
2628340.7535036891,31214037.418823689,3772633.2701048907,20035492.158981498
3295118.7658057814,35766950.001544036,3605413.61188003,27601798.984052237
3027049.0721639888,31343448.585942168,3154942.8949900526,23413811.502346743
2805282.5305139492,26982360.024429459,2790521.4411863992,20505239.926322199
2779843.2744792369,24337349.618200179,3148603.7896092255,17807738.834347345
3202054.9475611448,27802473.951740764,3611831.1923933011,22847199.490310501
3073822.6699485346,24563912.756648012,3184545.7483350211,20016808.918361444
2851356.79031369,22038801.232114401,2819356.8790874914,17490763.404197831
2704854.0895506446,24680876.934951253,2890552.11979149,17033802.23252625
3397968.60248983,27368934.980411656,3178001.9736247659,19170674.644695081
4304500.8377227737,26744037.506772231,3207634.9391605486,17590674.255438466
4473418.2927618707,25442711.898839563,3310037.0194440209,18827404.811943486
3997283.4524268243,25257604.679866169,3389740.4436255037,17349210.571041193
3590555.4294938641,26349760.095667694,3363794.2731067622,16901336.962859966
3221640.3342962391,24445269.74823375,3105535.216655096,15830837.1873112
