c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38
1275556.9084624478,715992.66604568763,630554.94617718388,1141228.0728792576,701354.01225741929,321639.60708144784,1351829.5755301919,626309.99094723875,20903.127196389938,1606122.2051063369,2761751.7482968275,962574.73933987704,3428061.1967893764,747242.16676550067,2230159.8715319312,153890.18438663476,263920.61702090985,585506.34548723651,866516.02542319125,616493.07712270401,1609141.3741025149,1158847.2433572903,251932.71465839582,20718.786205589073,173784.75945996313,1339564.3768791051,603771.7020886736,380334.70748397679,78546.479658257289,943236.14863389917,768276.79428305244,2758474.6165982704,1266831.8875372282,510221.99344305077,89582.364632645913,1448969.4151969661,387604.68909498741,174277.96372251838,1336157.1913040099
1266522.0385967745,710885.90313582576,631915.56349214877,1142709.7118063145,703833.17193370615,322823.65178665693,1356313.3244185196,628337.70446112356,20750.772827514258,1608161.9520745061,2768391.3790217205,965755.13141450926,3432735.1501700515,748749.0879605693,2232734.3812582823,154020.18521895443,264048.57257904956,585856.79854940809,867690.39590457594,616892.95783552842,1612868.8218425021,1161532.4621399806,252555.62897662946,20772.975897997341,174277.17137568787,1338835.5081510823,599747.18938090897,377563.9747493405,77969.62955686581,942926.18938891205,769752.74219784886,2757796.901138471,1267769.7767717813,510786.48857870733,89702.882600167432,1450974.4542089649,388286.00603583665,173035.39750392351,1326877.3223631266
1257381.2634725203,705985.02961356798,633404.59293782001,1143798.3635506721,706237.33161277976,323936.56538046035,1360656.769550689,630207.89643101604,20598.346489769468,1610155.3715982814,2774833.5239500152,968900.9102652393,3435952.3298473675,749523.6840115732,2235130.5381432385,153508.84358199834,262499.74780411215,586131.00397691294,868799.63864406128,617214.47233624279,1616646.7377736166,1164309.0387522287,253171.36678763528,20824.54235919068,174747.21218902039,1329303.3194686312,595394.30293690681,374790.93871374178,77396.996501076545,938536.96633847442,763307.68418120511,2738665.1014966504,1260099.7545431573,511315.20274283772,89824.627932552175,1453006.9123952901,388998.17278402799,172503.30086417543,1323128.5519631589
1250809.1226546017,705011.73881118232,634982.73539294489,1145561.6721499057,708693.45269625483,325093.93764885003,1365248.827517824,632253.7197879036,20656.94548167181,1611938.0601128151,2782296.1737289545,971995.97718489158,3438292.7856174884,749900.15382028697,2238388.6414229944,153617.62874673211,262684.71958000428,586597.57448178006,869975.49677550234,617582.51236682734,1620103.5823918886,1166814.8115242634,253757.03203868499,20875.564657167688,175210.22164313495,1330963.7540058251,596210.89853667736,373410.46658340126,76943.630339672643,933899.26514979859,762696.72216472274,2740985.0778674912,1260795.4735399855,511913.80635611806,89956.73773451653,1455539.5739100054,389828.25628384639,172845.83224355202,1325757.7534110884
1255188.8462619926,708556.70348938392,636679.79683723149,1147405.077618561,711276.26118334068,326319.88634746714,1370076.8589036651,634498.55683608144,20744.659577285296,1614066.8472683518,2790310.100469796,975285.53148545977,3441831.1178664737,751049.9251694706,2242133.1971922289,153808.04235578384,263011.84667967091,587382.89085099672,871389.12339245237,618157.47687483544,1623889.7623126495,1169466.7908375256,254392.10456742725,20932.167905442464,175720.15312232237,1335695.3323580895,598682.59414972994,375292.01908359543,77363.634877040429,929910.68327887484,763482.55716060463,2744002.7501105918,1261843.5534980912,512715.25423394213,90131.807037105275,1458574.5561169346,390699.69165307307,173185.82470193147,1328409.0676736436
1246137.4859488632,704402.79034331394,638276.81768723822,1149096.9023509698,713832.38340305688,327483.17980993184,1374946.4557481473,636610.35050713364,20702.756171374123,1616364.7766060117,2798190.6722097746,978673.57964909379,3446447.1798625286,753477.98238643783,2245729.3284864416,154063.25618236008,263383.39995401603,588202.46977455611,872872.52824859461,618725.03130897495,1627911.6901664173,1172222.6429456009,255031.77225554184,20986.647089971837,176215.16618079093,1340105.8975919462,597337.86516713584,374970.33110648463,77756.930209009326,932999.15169076924,765712.61040395801,2747399.5165721355,1263128.1843209325,513508.13207606872,90302.65071187861,1461451.9098751233,391495.75853829557,173486.12207573123,1326495.0568028912
1236998.1248246317,699236.77836555417,639773.57913167169,1150355.1839054173,716322.29487923789,328573.79924105445,1379792.5721198732,638569.99165126565,20550.799843542583,1618704.6580903716,2805887.7092908048,982037.1206555122,3454826.0815048311,759061.13698465552,2249190.2574196677,154454.17971064564,263855.10452857841,589002.51915415854,874276.89156445803,619238.99165036017,1631990.6711682922,1175014.1718851263,255663.61229356108,21038.706598605342,176688.02932273236,1334168.0060152474,592953.45032714424,372217.23250158044,77360.306461515385,938524.50340777007,771052.2855210678,2744269.230159556,1264589.9150342694,514255.69262390089,90466.930786935205,1464162.6522732589,392215.03267544915,172998.05517645885,1316761.000780696
1227918.462780332,694102.63844621915,641122.20278671279,1141805.7070495223,718626.09863729752,329420.50765700225,1384046.4133507537,640352.11285055836,20399.875669931385,1620080.1704368757,2812797.7356739333,984998.21596398298,3437397.4823496598,758442.80145883118,2251867.505818327,154537.76711158536,264041.50390534732,589582.57686548866,875487.5950047666,619631.65112184209,1635371.2998006609,1177412.6446320729,256226.89364827177,21086.984466931928,177125.00332994826,1324370.2096575696,588598.83955946378,369483.66180689784,76792.177061460156,931539.7132717584,764829.37387332588,2723460.3268408715,1260985.6301798834,514908.38916845887,90617.261277594007,1466583.3508195996,392839.796531995,171726.90549950837,1307085.6747448228
1218889.3956598903,689000.96284778055,642340.38166102942,1133382.0436541094,720763.11891176726,326999.35349621123,1388007.3188439212,638253.02541314776,20249.982596025751,1621023.3208555719,2819142.8579410436,987731.32011582027,3410042.8958648136,754954.78501205822,2254102.0955462712,154487.07503497376,264091.8747854536,589968.71432753128,876514.39297788613,619927.98744917801,1638365.9598244799,1179587.1591932967,256738.85632647749,21131.336526972838,177524.80330925615,1314638.6696938521,584274.34743453364,366769.63070502802,76228.096316988493,927121.03232537501,756165.78816915723,2702456.5596277742,1251440.9211741688,515449.46350641322,90748.95764979854,1468700.0160986718,391045.45736562513,170465.6320177617,1297483.452376582
1209937.4386139237,683940.00104884489,643425.82149513147,1125041.8422873386,722796.36134753528,324597.61344914819,1391816.755488025,633565.41289444873,20101.257482366869,1609089.1826862886,2825107.3479323923,990394.95635484613,3383840.5592866298,748871.66148820333,2253309.54999502,154563.38134863542,264228.37046750746,590346.63221927301,877488.3724849252,619471.60329783557,1641339.2231206074,1181687.5365596621,257224.22165806984,21172.291760814467,177893.52506360132,1304983.1963565871,579983.15624105919,364076.07787665282,75668.277998487756,909632.76447557146,747943.78441795462,2682291.9293357171,1242177.0997480629,515935.3439761792,90869.770082985488,1470576.0937751539,388173.40446098417,169213.629869472,1287953.4371979155
