c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38
1036322.6575693629,574945.81885780476,865003.28683750681,794214.12140302465,1250233.5800843143,204074.20119799656,1079130.5399199389,163958.28978019877,7935.6769594667976,1491012.2034447028,1485402.8675021965,837631.46130691969,4047660.2937135915,245192.25045405002,981387.90912682272,25376.277058493142,55291.807080645536,394430.99804514018,200924.25213382469,192222.9017933947,989138.83870446403,459226.56815386622,47932.980677064108,4328.7883105436485,177242.54141531728,1017932.6716720334,442595.21683860564,280656.38440560026,79156.973299636607,1524986.8273063663,1194095.1608755863,2389418.3271622132,470580.03003542707,427852.00079354178,50995.479124480524,645857.84855270188,224089.66807727446,309865.35907422157,2865711.3415437588
531872.19693664694,433358.72042688297,320113.48166918068,378322.1244973843,301510.81021648622,93537.387416302299,424774.81795029098,151596.74618587608,6802.383690301449,536679.01058936596,1493582.4718373553,316628.18261650245,1181264.7706383839,191750.46225452851,1119237.8759254669,26131.87014293898,50840.32764095068,151763.12961636437,176770.6444675333,138680.11570100093,417190.22675150738,258031.63827949576,47493.120965667607,4310.2725404144885,52550.879184303987,428410.91735238291,342063.72981709975,209057.61171184608,31387.962728799772,362657.11026279617,282034.83602497797,1018331.0910544423,277735.7791775614,172017.01968528956,51574.491559935828,800312.36395166116,136141.70870046684,73408.042271522063,987707.48458845622
398182.73814777192,300631.00270431786,231684.00739174738,287121.04880507756,233353.69507014117,76155.319740371357,332275.31040029263,125944.42449984638,5295.778705634857,414938.62016718136,994905.36988540413,249142.97321960877,910824.9432989679,151550.23534008441,747889.19475488435,22915.199219990376,42420.873256868814,121255.29272213019,149006.58943648241,111358.29151796331,342262.69263692072,215933.54085567582,40526.075018900265,3621.2393541947476,43968.482535159346,348864.52429340367,233261.87419520743,149772.15670487867,23761.303277950956,276989.29908398609,221246.83916197839,738332.79120374401,225176.6868923885,136774.36123945186,33235.36991727534,517179.26220788952,100742.14353355847,56448.508849537044,654297.96451961668
1793983.2413368202,690601.05337288836,905487.2057501073,1191927.974190536,1075093.6689983243,230860.76542270122,1224441.9906639985,262103.94717105269,14691.250657026903,3816616.8973838282,3273931.5554160392,1195243.8284685411,5187248.2238133578,607114.40698051278,2713102.4851558912,41962.905064060957,133517.86300272655,531258.09135595418,410851.90909166168,378980.76318870968,1479056.5229924235,579455.12083292077,91689.063823241682,9551.0802356941804,162822.04573277402,1005063.9687495417,538865.59069545951,670432.44154861593,117931.26086811526,1572218.3751869253,853644.60292485217,4753798.7821527543,931861.40586437541,479717.91471281846,169982.3216562547,1793601.89592511,280269.94222061185,249485.07774215896,3473309.0215136968
3403673.4403424351,1231256.9316370026,1693518.4287782467,2206441.0881024078,2015354.6023563291,401632.76693717123,2213356.8166588387,409523.28596216405,25769.002747217568,7424486.1733058989,6110172.9349103719,2224022.1043595234,9793801.3026259169,1087330.8617931029,5067553.7481829915,59725.84637677516,228636.47474764707,978934.31409318792,700187.47529394366,677110.86089428328,2704429.5259167762,977494.52785571711,146054.92817554239,16023.501867583829,296418.60771217954,1756890.6264620491,967750.74402625975,1283725.1740682598,224122.34711036226,2960352.9066275777,1552392.0466370319,9098741.8427971341,1683259.9351895293,884990.24341501528,327804.59279501502,3381015.0611021658,493253.61056516378,471521.02558539633,6788993.8170638559
2632226.6976331486,1085676.651987734,1568020.0919456631,1537468.4304163225,1872212.9011714417,340592.90039350366,1767688.8198771051,293576.34953020472,17514.148854383115,5729875.8693207083,4601645.2443659557,1797858.2925415055,7668096.2513614688,634942.62877405575,3843246.65717657,44162.890854703932,144644.05584848023,946186.89685464383,532185.16269931477,505836.59442730341,2368437.5182701242,772471.70964475465,104513.4047358346,11090.399981511813,309289.32735610497,1653946.5977987261,736241.88610454276,889751.92710530874,186029.11706184209,2470251.384305886,1357370.8800026833,6590088.2977065034,1499933.4885675674,862561.97815104481,190444.122945184,2537037.2222628142,368794.69466322596,404113.44708712178,5224616.5957614733
1758666.4635738414,905136.08134192973,1429339.8861552943,808760.3748213416,1714821.9910301086,268938.39144007163,1279360.0599323146,157552.88350367587,7872.7509526627364,4011480.4826368652,2972201.4980382044,1346882.773060061,5488526.1647147322,162127.35755001503,2568801.0674418197,26161.892464654524,53572.505729763987,909857.17893045116,330119.23575210525,311446.00473626616,1958920.0900261174,524551.33021565294,55350.779610186772,5330.3104906103545,317062.14666691324,1500620.8943269099,466486.38247995853,449324.22674053186,143251.09766361679,1985580.0181997456,1157266.5145658995,4025943.3424872081,1310843.0230690797,813043.54629379476,46770.255741983958,1643453.6682980289,230930.37494931894,325008.39812605857,3536202.4987478992
1221284.7474700506,627488.53795018594,910425.79019940807,604738.79208146373,1087105.8498056375,192270.30762303722,890069.17766513815,153832.60838466656,7327.7569947431011,2495718.9302113005,2054852.2079898971,887495.77399958833,3524636.9996695928,158519.69994504057,1709965.0951436562,26385.473896612559,52080.367013499825,577496.60407979612,273441.01333666412,237629.96900107362,1211158.213897876,393997.62726399396,53503.027961936059,5065.9156877895275,204892.65313906092,1035289.2527334088,354436.76512384549,336007.89444839617,94767.827344677542,1221395.1336733508,749719.72773619543,2587213.5907956338,851355.72786116251,539776.9397704869,38569.762948826065,1105699.7272346348,174831.96102948813,215747.57540010422,2299656.5302955848
502930.6399735575,273053.56160270679,276360.60501313105,312194.83531245438,318623.53232968377,90154.9469171768,386317.8763348764,133840.40771983881,5528.5895100244152,624444.86484674853,845967.74058543914,312606.89502243244,1078507.5595980366,138437.40219248357,618180.39098523802,24940.393009914595,44775.892909809481,166965.29781325039,181469.3560187126,131944.44669155573,394648.09815305722,236256.97360284397,45273.641768379559,4080.7609703281332,65736.893604163677,441966.84716403414,190612.7120698549,170370.24513985711,31736.060589526234,314220.8312022835,257714.70685297452,782914.27636011434,283990.18181739701,194993.4709552381,24415.798716296878,404078.86183461128,97583.37236209074,76169.152741433732,703951.74564476986
334389.0318873002,202450.84970831193,185357.1763196562,230403.52446938879,209487.65752783499,69322.482382975082,291113.12216605182,117448.05855051159,4263.7782471479068,363135.55826920469,599242.43054516229,220872.70310778846,720874.82231168682,121865.33449479815,439202.94985901169,23265.474455453048,38932.029802972218,110941.012904123,145556.57109377134,101770.63540422785,316112.21694940713,201482.37319048806,38852.053772318533,3355.1412185639078,44119.272596657567,330503.18365417013,140715.24565379095,114729.47873673479,19930.596625922968,214255.5519199027,191619.31700957264,512523.36238212534,207931.92643703608,131179.658759057,17853.736309204352,274697.86630760558,78234.234377993882,49521.767509248391,400511.28518405498
