c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127,c128,c129,c130,c131,c132,c133,c134,c135,c136,c137,c138,c139,c140,c141,c142,c143,c144,c145,c146,c147,c148,c149,c150,c151,c152,c153,c154,c155
352436.56678389426,57164.464637056655,37480.67669993938,87629.629236112203,63402.32138774317,11527.004450057255,25404.337703812711,55449.616625751813,57647.281346461154,8246.3951411478756,26730.402167552857,43328.830735945601,252480.24703136203,24340.115160493515,16080.728729482058,77817.933471487922,119129.58390857175,15903.270711317191,23022.443573767963,50615.868758676857,62791.693106235958,6906.3568198436487,3523.1880619115423,24725.113485353373,63134.92607165606,20130.139607032001,22234.802810171106,96049.24159252434,62193.751087689416,6402.4803501668021,1357.2709391785531,46377.655080610311,7658.8552813074257,798.49982543829412,145.57604633600226,1651.9611452040911,936353.7333104026,82548.680374499148,51210.190831830361,94364.832679518688,411526.82315491099,38092.551070385263,45474.446104164475,190203.25405713206,62625.802690687357,9834.7547234690137,21150.92821083251,65506.656533358604,611043.32355602353,164334.35281359253,81037.375374753407,222470.18147350737,52784.073686034972,13492.941310599443,5719.5490116849351,48934.107059244758,271399.67880941287,32242.212808207671,33124.059135699601,145206.55391402711,746.56570948754563,103.58428471631818,52.01296415513,9408.1869436613833,8429.8020353868378,1169.615755672258,584.51746720112828,15654.855972679641,30701.704411180286,6437.2237307365413,7868.4992918227254,34483.161389300541,132659.12656012326,7920.3175200250826,7055.9820087433791,52026.084004992277,66901.323212582778,7650.7374671926837,2497.0587390271471,35127.555349415627,122566.71108387143,40033.350033481758,33154.247033709136,95320.527270657054,50824.622724201559,29855.074709030003,19307.425659722336,68998.588595924492,21695.096839444814,3479.5597455106531,1362.7632472865523,15403.122365922964,3213.8673938374482,352.88110786091249,110.40244618528072,1316.5595210631138,24753.486507036341,3151.965251745004,3110.1829227361904,11374.167352927632,187926.61957623067,25414.193116375092,31984.091941950068,97744.094098626345,143099.57069987588,18397.129996075484,17679.665042652396,45567.484223508873,166332.90560451816,33867.88993614939,8675.7587707332277,28678.08050055159,2831.5994653836729,992.34768795040929,1346.662351019937,5933.2254479020057,299828.30281343521,42786.12672629673,33806.874395704523,62468.270594803376,219045.59293043733,31495.679540854038,28563.060389715563,48975.92066527201,769050.32917613129,99276.066133309258,47263.972982412619,171601.16925697131,97785.315808391999,11522.740043687707,9808.4291197193288,72929.588124777656,58131.180046520647,20541.616740753219,20161.552201903753,30666.244861299208,28228.228166232035,2548.4103374795245,1503.8800047143748,5542.0056370147431,234965.39490847269,29147.663188428898,17094.988877287757,92513.525835063701,20200.130654822831,2543.6142364190064,4742.4422944634043,26995.06651593405,35579.410903340344,4608.8614743659027,7660.8630407024521,11762.407673320467,464549.03506238764,88838.478014945256,70174.177974573628,88011.627949673566
704745.05609881319,114310.39974315558,116576.06281363159,84802.867002689221,126788.86749797856,23051.967604413927,49622.988308644177,53660.919315243686,115268.04273507152,16491.13890712383,51575.922985981117,41931.126518657031,504901.41464985802,48675.039390957623,55386.666806814523,75307.677553052839,238138.82541513891,31805.32014666752,46001.909375714051,48983.09879871954,125568.49834663504,13811.801286070282,12252.109102201241,23927.529179374236,126153.22704791916,40258.43150543244,64344.52866008837,92950.878960507413,124365.40796052069,12803.915650365936,7841.8619932125885,44881.601690913201,15316.408044742127,1596.8638306590203,809.38969845827205,1598.6720760039589,1872420.9309397156,165094.37546619464,138521.45974759414,91320.805818889057,822884.3892359942,76173.68846748356,142149.55719319376,184067.66521657939,125127.00272559166,19667.418475459992,49091.688015059444,63393.538580669614,1221958.1365564272,328643.58144378627,167280.56795133895,215293.72400662006,105554.02477114604,26982.725287956589,13412.46788899469,47355.587476688481,542715.59745255846,64475.61251189786,86111.040895463826,140522.47152970365,1493.0053145572563,207.14821177737974,232.7309179893667,9104.6970422529521,16858.180170051415,2339.0016440605536,2630.8879301308625,15149.860618722234,61391.390823706744,12872.622543295438,21117.529898202269,33370.801344484389,265307.62745370041,15839.984885436841,27708.696811134821,50347.823230637681,133790.9779671703,15299.507361110902,9083.3957324286857,33994.408402660287,245023.14860800037,80058.749620421862,66242.304092526392,92245.671552248765,101561.68147123388,59676.754355286241,39975.755491512224,66772.827673475302,43342.030398200608,6956.6400495298922,7704.2310841208509,14906.247450893188,6420.6281131163723,705.72819650576162,627.38711253963959,1274.0898590933361,49453.975574419143,6303.6768079907242,6806.8512461868886,11007.258728639643,375732.71421258867,50825.788330409763,72703.615391132378,94591.058805122258,286173.29870142363,36790.990292500814,47135.489251477717,44097.565377589235,332606.33795116236,67724.990443535411,27309.045760036446,27752.981129566055,5662.4199264420731,1984.5640172133619,5164.1297700266014,5741.831078614844,599345.30058957101,85525.582564853059,49285.780415503541,60453.165091745206,437815.99544334708,62957.033943635724,33474.368266519064,47396.052256714851,1537697.631245885,198509.07249771137,129308.57672725366,166065.64766803675,195556.19469014174,23043.388514642018,27031.311760862303,70577.020765913854,116244.86589033742,41078.824798457405,46446.765827409785,29677.011156096007,56415.303718581716,5095.4435006205376,5526.315611602502,5363.2312616271711,469814.73231620603,58284.84004681935,60475.987017180516,89529.218550061647,40394.117311610702,5086.7375657424082,13463.489767303081,26124.257918645853,71146.510779731747,9216.8447679942801,18888.840853073103,11382.975167729486,928955.38126100204,177659.74721744019,208072.36865389143,85172.543177103449
375371.77557497012,67212.79419694969,270462.17601234966,87629.629236112203,77418.057329234041,18341.112989031331,104903.97834593084,55449.616625751813,70078.022918682953,15803.068647957236,112616.65555675505,43328.830735945601,258614.52116316685,27556.612261131697,131152.52670259002,77817.933471487922,184825.69313420501,25993.382114938715,103506.62161389184,50615.868758676857,70853.257416139808,8287.1372499357312,29102.746334225561,24725.113485353373,75128.490846866101,36638.800596051158,150405.71120209977,96049.24159252434,62179.021611117314,6401.7836501883567,19139.200328682236,46377.655080610311,7657.9869360589437,798.40927862658214,1975.476882515429,1651.9611452040911,1208844.0597912115,105627.70493477001,326081.87184242776,94364.832679518688,435595.98752115067,47282.52441120294,327535.93442457862,190203.25405713206,72381.253206675305,13746.489594654897,113852.31745988704,65506.656533358604,727040.20898965979,231086.13877918303,391670.01664474292,222470.18147350737,54154.580665235488,15755.15563350107,33343.770906275728,48934.107059244758,289534.96203823038,37968.399393004045,198118.10295108537,145206.55391402711,746.48163987565556,103.5707129461471,578.34780211667271,9408.1869436613833,8428.8527682386648,1169.4625108162829,6538.157009814895,15654.855972679641,34647.687665707235,7994.3829588854442,49155.718163132908,34483.161389300541,134822.86729526924,8542.3162160760203,67155.992338630298,52026.084004992277,67191.428056922159,7679.9886287245017,21660.440248787269,35127.555349415627,136524.41531763526,59579.989479922071,153238.35420097708,95320.527270657054,57524.751680792688,48605.458180472429,94098.866277983776,68998.588595924492,22411.561511804066,3955.5220399665654,18913.499198419566,15403.122365922964,3209.1296107984326,352.85842838353699,1537.6661170466477,1316.5595210631138,25938.861850467536,3930.6484998015885,15471.129394262507,11374.167352927632,222668.30744135482,37331.65566758257,165060.12948864597,97744.094098626345,175569.86402562904,23939.461460398787,103220.33209117834,45567.484223508873,172103.24554225573,37879.243836546128,63472.566808947449,28678.08050055159,4244.07460431249,1972.8883108933171,12171.979332918012,5933.2254479020057,312848.90576712985,54477.14224658328,116023.57942830156,62468.270594803376,232497.4032530867,46557.370974548081,76384.517870848416,48975.92066527201,789410.44114701718,110045.32030081483,309072.62222508475,171601.16925697131,159318.6319680782,18003.840379208552,63513.251611423395,72929.588124777656,75962.904573175649,33267.011272647323,105719.40595163593,30666.244861299208,39313.473054393355,4012.4890326769219,13111.421576881439,5542.0056370147431,243850.94668069234,31901.854194400625,141827.99189249991,92513.525835063701,23069.146512329604,4081.0465210632278,31071.612375444965,26995.06651593405,39513.029978962913,7476.8131270848189,43290.400482010089,11762.407673320467,534345.70359120145,137756.46608200783,480234.81509730377,88011.627949673566
47956.504524591408,20958.415517251295,312443.27515818051,84802.867002689221,29219.492001265371,14197.986920377834,115546.2142476084,53660.919315243686,25932.553697746724,15744.356855248134,122696.94685297841,41931.126518657031,12860.9703206138,6707.8164247143632,155534.51929914442,75307.677553052839,137025.27650184088,21021.417754281159,113962.85798836443,48983.09879871954,16814.528294426487,2877.709083621502,34505.669280601185,23927.529179374236,25146.964950550886,34393.411239086679,174049.90144246072,92950.878960507413,0,0,23460.581468061951,44881.601690913201,0,0,2421.3439211395753,1598.6720760039589,567905.47631020716,48067.895448335905,374163.36487953167,91320.805818889057,50373.637259183532,19156.136461899376,383185.42648333113,184067.66521657939,20495.604214175928,8151.8306337437944,129099.26875812904,63393.538580669614,241823.20525797139,139092.22337891051,451532.96315926872,215293.72400662006,2874.6538219557888,4717.0301342139528,40978.763441227013,47355.587476688481,37895.750971806352,11941.032424936599,231042.68747941847,140522.47152970365,0,0,710.48794751514856,9104.6970422529521,0,0,8031.9761026885335,15149.860618722234,8236.9635276206391,3246.4087929352831,56434.324032261713,33370.801344484389,4522.2619629455594,1296.6507151935746,79504.775234555622,50347.823230637681,620.55161254367192,63.668590222382861,25485.228019170881,33994.408402660287,28411.019404678456,39395.57510032646,176957.74385996637,92245.671552248765,13606.247731543799,37572.856323355794,110499.68765224805,66772.827673475302,1559.4284861611459,994.96817447294097,23190.380093112042,14906.247450893188,0,0,1884.9037814095147,1274.0898590933361,2542.9769495742685,1622.5053958538615,17303.547032049402,11007.258728639643,72541.274615589369,24830.067808126754,185854.10053894549,94591.058805122258,67678.01045085353,11550.326728103637,120007.38377393788,44097.565377589235,12103.369522890946,8371.43742927723,73488.393884916455,27752.981129566055,2943.5503104918262,2042.8448092500194,14339.942464970944,5741.831078614844,27248.736352591164,24146.495525178594,146107.35623366371,60453.165091745206,28116.939970237807,31091.093434628347,95910.028811099066,47396.052256714851,42916.205343438785,22454.336426376733,368832.10009242472,166065.64766803675,128206.26380394088,13504.334003874841,73858.322543154907,70577.020765913854,37171.347259155198,26515.666648446982,118187.40619508379,29677.011156096007,23149.936630361077,3051.8815855167186,15410.98349764585,5363.2312616271711,18671.5635035864,5752.0945484501672,168397.05231447631,89529.218550061647,5985.2670658983516,3203.4609464276091,36174.346077120419,26124.257918645853,8211.6134259297869,5975.7369467097569,49223.069451820847,11382.975167729486,145598.59704871461,101929.85995368262,557470.41569948604,85172.543177103449
26851.227738004545,11734.783292908016,285737.51723869308,87629.629236112203,16360.225623042601,7949.5656324322799,112626.16303082743,55449.616625751813,14519.842763126446,8815.3904397243532,124706.7759611409,43328.830735945601,7200.9594200811025,3755.7596874553983,135776.78535416716,77817.933471487922,76721.540522772702,11770.058745763949,113829.71848672366,50615.868758676857,9414.5879274676681,1611.2521697327286,30068.976530676486,24725.113485353373,14079.985384685688,19257.144093852821,158964.49840352172,96049.24159252434,0,0,19177.999772602769,46377.655080610311,0,0,1978.9773280145298,1651.9611452040911,317766.90181580908,26892.746650251942,347701.80979670392,94364.832679518688,28201.267271991888,10719.525554771804,342413.47647429514,190203.25405713206,11475.651568821935,4564.2747109738702,122401.25832065972,65506.656533358604,135398.73310379335,77878.84049425197,415576.52917382785,222470.18147350737,1609.5415044622189,2641.1026332384295,33433.196425070761,48934.107059244758,21218.131924625486,6685.8788864491589,207461.29166184299,145206.55391402711,0,0,579.17684415475333,9408.1869436613833,0,0,6547.3764098452421,15654.855972679641,4611.9412943527814,1817.69006506857,52311.839998052928,34483.161389300541,2532.0503873609055,726.00503300768423,69724.548415419282,52026.084004992277,347.45177607871244,35.648549300382051,22592.641804472951,35127.555349415627,14728.378988580424,20135.330968248691,171106.53996220193,95320.527270657054,6936.9806389756977,18827.772106836852,103692.17481339534,68998.588595924492,873.13639386650766,557.09058259531696,18919.363388810503,15403.122365922964,0,0,1537.9624539960519,1316.5595210631138,1423.8329895478669,908.45365653939825,16782.692675100701,11374.167352927632,40616.435756061066,13902.552157950202,177863.28395036104,97744.094098626345,37893.455527791157,6467.1196639370601,105804.67855600952,45567.484223508873,6776.7727168212987,4687.2342998375234,67000.042409384361,28678.08050055159,1648.1171955466543,1143.8050322964002,12663.757353958039,5933.2254479020057,14813.05376949944,13126.602714016677,150126.28284608349,62468.270594803376,15328.068137472465,16928.46229202981,110377.90093690848,48975.92066527201,23946.020561465033,12514.790812422523,326213.63880138012,171601.16925697131,71783.705275538669,7561.1838557203846,67862.18213610223,72929.588124777656,20812.532532937592,14846.33233511357,114978.07735869737,30666.244861299208,12961.833368473492,1708.772736764221,13685.357919434091,5542.0056370147431,10454.356689035272,3220.6434189082674,146334.34007893901,92513.525835063701,3351.198563206462,1793.6432247313419,32624.831716841745,26995.06651593405,4597.7475710939561,3345.8625737877155,46442.572226374716,11762.407673320467,81521.810783441397,57071.338081276917,506250.93271152838,88011.627949673566
1915.3169838058948,837.05035618824479,191818.20066204862,87629.629236112203,1166.9864149399425,567.04811482890943,90885.766415418548,55449.616625751813,1035.7106095020556,628.80800806685659,111227.50610489392,43328.830735945601,513.64950651613469,267.90098339881075,77088.14374476255,77817.933471487922,5472.6015145681777,839.56657908224634,97395.552879618132,50615.868758676857,671.54918683628159,114.93175194798502,16927.731708979169,24725.113485353373,1004.335272940163,1373.6256495396547,106232.24815618187,96049.24159252434,0,0,7892.6572301443803,46377.655080610311,0,0,813.40524654009187,1651.9611452040911,22542.775773803696,1905.8659507226589,245027.85451363906,94364.832679518688,2009.6324282667554,760.97154921474544,212851.09492754543,190203.25405713206,818.56630782264642,325.57292940131543,91550.813831068706,65506.656533358604,9658.0869832050776,5555.1525365311309,284566.95656537538,222470.18147350737,114.80972898954961,188.39171075430167,13574.580842712845,48934.107059244758,1513.5042924815389,476.90844932057342,131151.65853701209,145206.55391402711,0,0,233.78709044001488,9408.1869436613833,0,0,2642.4651226332644,15654.855972679641,328.97302036164075,129.65711240061901,36636.448822476741,34483.161389300541,180.61293725875052,51.786450273931287,40189.670954119349,52026.084004992277,24.783979871250978,2.5428361261270807,13593.094188349412,35127.555349415627,348.57952416079576,291.69561205697522,128461.9051342288,95320.527270657054,89.23784880253254,27.562630105969657,71340.440454432333,68998.588595924492,62.281433857289791,39.737663572564294,7678.701266463966,15403.122365922964,0,0,624.78893117029963,1316.5595210631138,101.56300984048838,64.800639074978221,13354.734796937579,11374.167352927632,2897.1989655109151,991.67883592454916,136642.68112601069,97744.094098626345,2702.9668682429274,461.3041999234942,62476.652593338673,45567.484223508873,483.3919702505504,334.34372346593887,44538.824647932808,28678.08050055159,117.56136020049398,81.588418447593526,7520.1472558994892,5933.2254479020057,792.45706213590404,702.2366342849208,112580.94149488918,62468.270594803376,846.39876823570626,921.94371647708863,100256.5346216797,48975.92066527201,1658.611926497093,858.4150661561041,188892.36338542041,171601.16925697131,5120.3822490454768,539.34456918864259,45542.850881883554,72929.588124777656,1484.5726022399926,1058.999340593386,92246.051618969752,30666.244861299208,924.57670219530144,121.88796267057447,8291.9704922587662,5542.0056370147431,745.71662482804823,229.73076312212251,81620.818080329307,92513.525835063701,239.04335350485727,127.94183434502482,20936.97860054651,26995.06651593405,327.9605720860414,238.66273362189119,34316.555978447032,11762.407673320467,5815.0081727227353,4070.9387362903949,332654.05434776976,88011.627949673566
0,0,96183.698340648989,84802.867002689221,0,0,55334.078616676874,53660.919315243686,0,0,73491.061574168838,41931.126518657031,0,0,29988.715481691739,75307.677553052839,0,0,61959.442736292949,48983.09879871954,0,0,6427.8314484442626,23927.529179374236,0,0,52906.013746552548,92950.878960507413,0,0,821.91878206541094,44881.601690913201,0,0,83.308210690374779,1598.6720760039589,0,0,129311.31532716309,91320.805818889057,0,0,97276.861824281979,184067.66521657939,0,0,51570.618847965517,63393.538580669614,0,0,145793.71422953432,215293.72400662006,0,0,1165.1899013276213,47355.587476688481,0,0,61265.191427046913,140522.47152970365,0,0,18.213132962071345,9104.6970422529521,0,0,205.29907089492073,15149.860618722234,0,0,19291.956375040532,33370.801344484389,0,0,15783.696106942376,50347.823230637681,0,0,5800.3878562466507,33994.408402660287,0,0,72855.427626763179,92245.671552248765,0,0,36782.557819125497,66772.827673475302,0,0,654.48273324385332,14906.247450893188,0,0,54.051986901906595,1274.0898590933361,0,0,7993.4988263478554,11007.258728639643,0,0,79303.625784177129,94591.058805122258,0,0,26128.911783324827,44097.565377589235,0,0,22089.152778567739,27752.981129566055,0,0,3163.2443318259006,5741.831078614844,0,0,64424.353606434008,60453.165091745206,0,0,67320.60571823339,47396.052256714851,0,0,75478.534540329594,166065.64766803675,0,0,22757.209468936322,70577.020765913854,0,0,55696.084770029716,29677.011156096007,0,0,3590.0848828966796,5363.2312616271711,0,0,30839.898921625358,89529.218550061647,0,0,9975.7479627056546,26124.257918645853,0,0,19225.521380920934,11382.975167729486,0,0,163684.84648818854,85172.543177103449
27117.835618204801,10591.517616331856,38451.244172014238,87629.629236112203,20077.344634431091,7595.2978251176473,21479.503963092262,55449.616625751813,16018.423880515524,7626.8846615471821,28482.394959360121,43328.830735945601,20542.242214187288,3921.0584988339688,13154.139245336011,77817.933471487922,79536.931058306989,11776.32129967993,23375.663346043664,50615.868758676857,10706.772067470494,2815.882408398797,2744.5190333983319,24725.113485353373,19992.40369491807,17333.905784420738,21071.08654586599,96049.24159252434,2210.158021111672,1376.8030271873013,622.97336381613479,46377.655080610311,208.83655151103966,94.675974488952335,63.139368477039717,1651.9611452040911,286974.04080625984,24101.692379330343,49430.253147363852,94364.832679518688,48116.950136615109,31423.965642441191,42194.379375472381,190203.25405713206,20017.549638364064,4891.7846741782678,19620.915656813297,65506.656533358604,182715.50964852309,82573.456893582974,57195.828112038296,222470.18147350737,11343.938439615824,7861.5238534781311,883.19978983666363,48934.107059244758,21475.256929613995,7137.912729093453,26092.751463727025,145206.55391402711,4.0828154295223076,0.28713985837607359,13.8355486388201,9408.1869436613833,1516.7164329489713,733.578870647087,155.95679997636555,15654.855972679641,6847.9154919424609,2648.4286150360613,7559.8656417884122,34483.161389300541,5447.9975536856982,1041.0043491886711,6329.8111947020752,52026.084004992277,2997.175068116303,602.73868800498008,2366.1524095264626,35127.555349415627,20719.116324407922,20753.492439042817,27729.908320474304,95320.527270657054,8356.3946708529747,19070.134379062336,14229.449924870523,68998.588595924492,2989.9746619786688,713.85255937427689,494.82160288017093,15403.122365922964,338.78660601074563,35.709541095173478,40.87249523297973,1316.5595210631138,3876.7617749640781,1058.7952684716058,3040.0676625020742,11374.167352927632,44494.15872420212,15176.428498766314,30562.955030321478,97744.094098626345,39804.587104463593,7099.4171021929633,11285.147027380162,45567.484223508873,8496.6529508198782,4424.7282629063375,8915.2171957242917,28678.08050055159,1448.7671880660314,985.25613228727889,1340.7656904932862,5933.2254479020057,24414.450450170167,13210.479710652942,25242.509144058658,62468.270594803376,30088.876873818652,17672.278690655578,25659.672172486178,48975.92066527201,166062.33361590494,26967.466558538348,31225.696200927043,171601.16925697131,64342.526373886401,7298.858376565885,8943.6405281145035,72929.588124777656,22053.43703610943,13699.45578378253,21305.839633854015,30666.244861299208,11873.094057717393,1554.4965225550313,1480.5335825638524,5542.0056370147431,26393.557445032729,18182.753037539231,13991.206681689624,92513.525835063701,3187.7831356013139,1545.7750597459772,4198.9158729375849,26995.06651593405,5611.3645179068862,2900.1383314217042,7576.6043288188521,11762.407673320467,96322.228041248658,51007.680159030162,68443.456291433773,88011.627949673566
54235.671236409602,21183.035232663711,33824.785278186893,84802.867002689221,40154.689268862181,15190.595650235295,19893.980183674968,53660.919315243686,32036.847761031047,15253.769323094364,25342.921309251851,41931.126518657031,41084.484428374577,7842.1169976679375,14414.505399177813,75307.677553052839,159073.86211661398,23552.64259935986,22314.649640819382,48983.09879871954,21413.544134940988,5631.764816797594,3089.992558718187,23927.529179374236,39984.80738983614,34667.811568841476,20731.606644678188,92950.878960507413,4420.3160422233441,2753.6060543746025,1009.8634364788511,44881.601690913201,417.67310302207932,189.35194897790467,108.95833647538959,1598.6720760039589,573948.08161251969,48203.384758660686,49674.408161363703,91320.805818889057,96233.900273230218,62847.931284882383,39753.839438368719,184067.66521657939,40035.099276728128,9783.5693483565356,20403.412017916726,63393.538580669614,365431.01929704618,165146.91378716595,77957.82941551588,215293.72400662006,22687.876879231648,15723.047706956262,5338.4328244423859,47355.587476688481,42950.513859227991,14275.825458186906,29482.561339751035,140522.47152970365,8.1656308590446152,0.57427971675214717,44.264250433294428,9104.6970422529521,3033.4328658979425,1467.157741294174,496.77062865650231,15149.860618722234,13695.830983884922,5296.8572300721225,7447.4243360843429,33370.801344484389,10895.995107371396,2082.0086983773422,6650.3323172000692,50347.823230637681,5994.350136232606,1205.4773760099602,2308.6039002546972,33994.408402660287,41438.232648815843,41506.984878085634,31998.855259294563,92245.671552248765,16712.789341705949,38140.268758124672,18707.625820595316,66772.827673475302,5979.9493239573376,1427.7051187485538,1003.149641895498,14906.247450893188,677.57321202149126,71.419082190346955,80.105073657918766,1274.0898590933361,7753.5235499281562,2117.5905369432116,2951.330505699681,11007.258728639643,88988.317448404239,30352.856997532628,29711.527280989128,94591.058805122258,79609.174208927187,14198.834204385927,11569.334043609899,44097.565377589235,16993.305901639756,8849.456525812675,7893.8367095723579,27752.981129566055,2897.5343761320628,1970.5122645745578,1187.5075924442715,5741.831078614844,48828.900900340333,26420.959421305884,32282.954842010287,60453.165091745206,60177.753747637304,35344.557381311155,27893.307828913476,47396.052256714851,332124.66723180987,53934.933117076696,43219.318149340543,166065.64766803675,128685.0527477728,14597.71675313177,9205.7042630936521,70577.020765913854,44106.87407221886,27398.911567565061,19442.932918046954,29677.011156096007,23746.188115434787,3108.9930451100627,1378.2950626248371,5363.2312616271711,52787.114890065459,36365.506075078461,14580.985983252698,89529.218550061647,6375.5662712026278,3091.5501194919543,4252.3471254577344,26124.257918645853,11222.729035813772,5800.2766628434083,7255.8404414359593,11382.975167729486,192644.45608249732,102015.36031806032,63903.987012121899,85172.543177103449
33191.666856868324,11345.478785544236,79684.498156563743,87629.629236112203,25001.297846713045,7934.2208888680952,48737.376584514488,55449.616625751813,17019.751053581498,7690.5708212780864,62028.619400640389,43328.830735945601,24118.510147039731,4234.957288767916,31778.526861619623,77817.933471487922,80892.075206774316,11899.935239820123,56524.968030638949,50615.868758676857,11739.186375942367,2922.6369518450597,7017.7779631405001,24725.113485353373,21107.182535498094,17506.369900084628,49613.570500993868,96049.24159252434,3488.1996315932965,1501.2166574524895,1761.470545110642,46377.655080610311,367.15499540738477,109.96408321722888,195.83034259375376,1651.9611452040911,289257.16192767519,24317.705408852784,124328.17871982105,94364.832679518688,61592.513335653603,32352.633956952086,86054.004090112707,190203.25405713206,20708.994069274737,4962.5350736195751,51387.457506888612,65506.656533358604,187997.01149434908,83670.602005980094,193630.37656628815,222470.18147350737,11800.424498391691,7961.1390361047106,12725.172449038586,48934.107059244758,27739.098885852018,7747.4580387179576,67153.186465053033,145206.55391402711,14.797159636100963,2.0581405316947223,96.25070533895483,9408.1869436613833,1624.7103287012585,746.13446535578896,1079.2351026445788,15654.855972679641,7447.5032500694761,2767.9990934249563,18136.459030641217,34483.161389300541,5929.7806548612753,1070.6714628432626,15900.220032449406,52026.084004992277,3695.2677840098718,728.08316248784251,5379.4361895723405,35127.555349415627,21656.315021227234,20943.45854999841,80972.321955337175,95320.527270657054,8943.2871515848437,19259.293826508911,46943.038335684432,68998.588595924492,3241.3168499729991,746.71259568269795,1926.9296999722421,15403.122365922964,372.89419524294516,39.337712155862583,151.94319081620765,1316.5595210631138,4127.4953843955527,1085.4693106157579,7415.444847890185,11374.167352927632,48289.178447874336,15497.370732684922,73595.844286055784,97744.094098626345,48238.859646323603,7715.1549019530312,25579.125798498866,45567.484223508873,11512.739863837231,4906.5610534443285,18397.366109969214,28678.08050055159,1486.1566660987587,991.22352416070839,2608.474353868457,5933.2254479020057,25877.384125183227,13374.141013830611,81264.293694233114,62468.270594803376,31505.691526650753,17804.759456596094,71492.410212086441,48975.92066527201,176575.48821991563,27848.58158736824,103603.36027062283,171601.16925697131,65131.229369967587,7403.6476967403141,22457.900590804238,72929.588124777656,22951.642974986415,13941.381334215203,48395.647503561602,30666.244861299208,12672.520671402941,1590.1009844304283,3153.2552731502169,5542.0056370147431,32459.584824902806,18841.56298452969,30776.990999954633,92513.525835063701,3618.5804077654975,1579.934824362251,9635.1602737606972,26995.06651593405,6090.0820069431484,2934.3823929011996,17522.073851967121,11762.407673320467,106832.95598974182,52488.025927139046,143973.39292779114,88011.627949673566
