basin,station_key,year,rows,months,minimum,maximum,missing_months_of_12
Beijiang,三溪桥,2016,12,12,0.8,1.68,0
Beijiang,三溪桥,2017,12,12,0.87,1.64,0
Beijiang,三溪桥,2018,12,12,1.13,1.87,0
Beijiang,三溪桥,2019,11,11,0.82,2.58,1
Beijiang,三溪桥,2020,11,11,0.93,2.78,1
Beijiang,三溪桥,2021,12,12,1.18,4.17,0
Beijiang,三溪桥,2022,12,12,0.82,3.14,0
Beijiang,三溪桥,2023,12,12,1.25,2.8,0
Beijiang,三溪桥,2024,12,12,1.23,2.67,0
Beijiang,北江石尾,2016,12,12,1.57,2.01,0
Beijiang,北江石尾,2017,12,12,1.3,4.20667,0
Beijiang,北江石尾,2018,12,12,1.56,4.55167,0
Beijiang,北江石尾,2019,12,12,1.18,2.97,0
Beijiang,北江石尾,2020,12,12,1.81,3.61,0
Beijiang,北江石尾,2021,12,12,1.81,3.04,0
Beijiang,北江石尾,2022,12,12,1.59,2.69,0
Beijiang,北江石尾,2023,12,12,1.6,3.0,0
Beijiang,北江石尾,2024,12,12,1.77,2.92,0
Beijiang,十里亭,2016,12,12,1.1,2.55,0
Beijiang,十里亭,2017,12,12,0.83,2.01,0
Beijiang,十里亭,2018,12,12,0.97,3.2,0
Beijiang,十里亭,2019,12,12,0.92,1.82,0
Beijiang,十里亭,2020,12,12,1.03,2.05,0
Beijiang,十里亭,2021,12,12,0.99,2.26,0
Beijiang,十里亭,2022,12,12,0.81,2.13,0
Beijiang,十里亭,2023,12,12,1.08,2.26,0
Beijiang,十里亭,2024,12,12,0.88,2.23,0
Beijiang,古市,2021,12,12,0.67,2.57,0
Beijiang,古市,2022,7,7,0.72,1.83,5
Beijiang,古市,2023,4,4,0.96,1.61,8
Beijiang,古市,2024,4,4,0.73,1.35,8
Beijiang,官渡,2021,12,12,2.3,3.09,0
Beijiang,官渡,2022,12,12,1.86,3.45,0
Beijiang,官渡,2023,4,4,2.09,3.88,8
Beijiang,官渡,2024,4,4,2.46,3.66,8
Beijiang,新坪山桥,2021,12,12,0.88,2.05,0
Beijiang,新坪山桥,2022,7,7,1.22,2.07,5
Beijiang,新坪山桥,2023,4,4,0.97,1.94,8
Beijiang,新坪山桥,2024,4,4,0.9,1.72,8
Beijiang,滃江大站,2021,12,12,2.02,3.52,0
Beijiang,滃江大站,2022,12,12,2.02,4.34,0
Beijiang,滃江大站,2023,12,12,2.46,4.05,0
Beijiang,滃江大站,2024,12,12,1.88,3.98,0
Beijiang,石角,2016,12,12,1.36333333333333,2.26333333333333,0
Beijiang,石角,2017,12,12,1.69,2.86333,0
Beijiang,石角,2018,12,12,1.52,3.27333,0
Beijiang,石角,2019,12,12,1.35,2.58,0
Beijiang,石角,2020,12,12,1.73,2.64,0
Beijiang,石角,2021,12,12,1.58,2.62,0
Beijiang,石角,2022,12,12,1.45,2.84,0
Beijiang,石角,2023,12,12,1.41,2.41,0
Beijiang,石角,2024,12,12,1.56,2.25,0
Beijiang,连江西牛,2016,12,12,0.93,1.32,0
Beijiang,连江西牛,2017,12,12,0.9,1.37,0
Beijiang,连江西牛,2018,12,12,0.95,1.58,0
Beijiang,连江西牛,2019,12,12,0.88,1.66,0
Beijiang,连江西牛,2020,12,12,0.94,2.33,0
Beijiang,连江西牛,2021,12,12,0.86,2.47,0
Beijiang,连江西牛,2022,12,12,0.89,2.74,0
Beijiang,连江西牛,2023,12,12,1.02,2.25,0
Beijiang,连江西牛,2024,12,12,0.96,2.47,0
Beijiang,长坝,2016,12,12,0.87,1.64,0
Beijiang,长坝,2017,12,12,0.74,1.93,0
Beijiang,长坝,2018,12,12,0.8,2.94,0
Beijiang,长坝,2019,12,12,0.65,1.43,0
Beijiang,长坝,2020,12,12,0.84,1.88,0
Beijiang,长坝,2021,12,12,0.44,2.39,0
Beijiang,长坝,2022,12,12,0.64,1.99,0
Beijiang,长坝,2023,12,12,0.82,2.14,0
Beijiang,长坝,2024,12,12,0.88,2.47,0
Beijiang,高桥,2016,12,12,1.07,1.78,0
Beijiang,高桥,2017,12,12,1.03667,1.87,0
Beijiang,高桥,2018,12,12,1.52,2.6,0
Beijiang,高桥,2019,12,12,1.24,2.43,0
Beijiang,高桥,2020,12,12,1.4,2.24,0
Beijiang,高桥,2021,12,12,1.06,2.21,0
Beijiang,高桥,2022,12,12,1.0,1.98,0
Beijiang,高桥,2023,12,12,1.25,2.1,0
Beijiang,高桥,2024,12,12,1.14,2.55,0
Beijiang,龙归,2021,12,12,0.78,5.29,0
Beijiang,龙归,2022,12,12,0.65,1.24,0
Beijiang,龙归,2023,4,4,0.67,1.37,8
Beijiang,龙归,2024,4,4,0.64,1.62,8
