variant,split,basin,rows,stations,eligible,NSE_median,r_median,RMSE_station_mean
SC,train,ALL,393,17,17,-1.3596155094428308,0.015308938898360998,0.9277403725349229
SC,train,Beijiang,278,12,12,-1.0550020559365079,-0.029117008475671436,0.8994039166477766
SC,train,Dongjiang,115,5,5,-1.8926819175241594,0.0783657719246982,0.9957478666640744
SC,development,ALL,164,17,12,-2.2347753607565353,-0.3963475279738452,0.8631593938010758
SC,development,Beijiang,112,12,8,-1.5843890345583487,-0.4266059944089945,0.7943472376907802
SC,development,Dongjiang,52,5,4,-8.344147849641342,-0.1761487420752188,1.0283085684657851
SC,evaluation,ALL,164,17,12,-3.868020697399021,-0.2911326199828697,0.9321853327756796
SC,evaluation,Beijiang,112,12,8,-2.360822028933965,-0.39832067315058806,0.8743098183475704
SC,evaluation,Dongjiang,52,5,4,-6.851032918905287,-0.015608085202482143,1.0710865674031418
SC,hindcast,ALL,675,12,12,-1.8560950252118311,0.025965666489108318,0.7926450542935459
SC,hindcast,Beijiang,418,7,7,-0.9398759428643364,0.03894825372582293,0.6642386161552192
SC,hindcast,Dongjiang,257,5,5,-3.5354664927950923,-0.07574285376422184,0.9724140676872028
